input	reference	prediction
Ri pisbʼal ri juuj bʼantlik rukʼ miit	#qum# La en voltura del papel está hecho de algodón	El hombre se ha hecho con la cabeza
Njeel ri kʼyeej itzʼaplik	#qum# Todos los negocios están cerrados	El hombre está en la casa
Xsqarsxik ri riil ri achii se aclaró el delito del hombre	#qum# Dirrecion	# El hombre que se ha puesto en la casa
Chpom ri bʼeey xtukxik poqlaaj	#qum# En el camino se regó arena	# El hombre se ha ido a la casa
Ri sʼaq tʼaq	#qum# La ropa está mojada	El hombre se le dio el pelo
Ataq xsiq ri tzʼiʼ ri qan chkop xtrambʼeej rech xwiʼtaaj	#qum# Cuando el perro olió las huellas del	#qum# Cuando se le dio la mano
Ri aliit xtzaqeel wu rkaʼ	#qum# La señorita se le cayó la muela	#qum# La gente se ha ido
Ri tzʼiʼ xsok ri achii pirsmoqʼ	#qum# El perro lo hirió al hombre en la fosa poplítea	Tambo de la mano
Ri siikʼ kirbʼan kʼex chu ri tzantzqʼor	#qum# El consumo del cigarro daña el cerebro	Técnico se ha hecho el trabajo
Ataq kpetik jabʼ wu kʼotzʼaj qʼus kkaʼyxik	#qum# Frijol	#qum# La gente se ha hecho la paisana
Ataq utz bʼanmaj ri chaak qal chik ktzuntzxik	#qum# Cuando está bien hecho el trabajo no es necesario repasarlo	El hombre se ha ido de la casa
Ri ajmaak areʼ ri achi i ri xwiʼt aaj ri ixoq	#qum# El hombre que mató a la mujer es el culpable	#qum# La casa está en la que se ha ido
Ri saqkʼim kchuknik chu kbʼanik xuʼk	#qum# El pajon blanco sirve para elaborar canastas	T#T_ El niño no tiene la cabeza
Latzʼ wu rpom jaay sichaʼ qal xiʼ kʼisook njeel ri wnaq	#qum# La casa es muy reducido por eso no	#qum# El hombre que se ha hecho el hombre
Ataq kqajik ri nabʼey rqan jabʼ keʼlul ri xkawalek	#qum# Cunado cae las primeras lluvias salen	# El hombre que se ha ido
Ri xbʼaj kirbʼan kʼex chu ri qsosobʼ	#qum# El aguardiente causa daños a nuestro hígado	T'as vu que te vas a la casa
Xeʼ taq ri abʼaj kiʼkʼobʼik ri kmatz	#qum# Debajo de las piedras están las culebras	#qum# El hombre que se ha ido
Ri tikaʼ kkʼiyik rum ri rmeqʼnal ri qʼiij	#qum# La siembra crece con el calor del sol	# El hombre que se ha hecho el hombre que se ha ido
Waqiibʼ iikʼ chi k xtqajik raal wu wakx	#qum# Entre seis meses va parir la vaca	#qum# La gente se ha quedado
Jun mlol ylooj xb ʼiʼnik re waʼ	#qum# Esto lo dijo un chismoso	El hombre se le dio la vida a la mujer
Ri albʼatz xyoʼqook chu rqirxik ri rwoch ixiim	#qum# La nuera se le puso a	Comodidad de la gente
Pirwiʼ ri jyubʼ xeʼqbʼnaʼ ri chʼabʼal maaya	#qum# En la cima del cerro fuimos hacer la ceremonia maya	#qum# El árbol de la casa está en la casa
R i alaabʼ xtochʼ ri rqan rukʼ ri tochʼbʼal	#qum# El muchacho se cortó el pie con el machete	El niño no se ha ido a la casa
Ri elqʼoom chaqʼabʼ xkelqʼaaj ri rwaakx wjow	#qum# Los ladrones de noche robaron la vaca de mi papá	# El hombre que se puso en la casa
Ri nanyoox xaq kyabʼabʼ ik rum wu re tzaʼm	#qum# la señora siempre padece del catarro	El hombre se ha hecho el trabajo
Najeʼl xbʼan ri wtziik ri rchoch	#qum# Mi hermano construyó su casa retirado a la mia	# Cuando se ha hecho el trabajo de la mujer
Ri aliit nmaq wu riim	#qum# La señorita tiene los pechos grandes	#qum# El hombre se ha ido
Ri rbʼuch akʼ xnojik rukʼ rwoch ixiim	#qum# El buche de la gallina se llenó con granos de maíz	La mujer se quedó con la madre
Pri ntinmit qal kʼiy moos ikʼolik	#qum# En mi pueblo hay pocos ladinos	El hombre se ha ido a la casa
Ri tzʼuum xchiqik chu qʼiij	#qum# El cuero se secó en el sol	# El niño se ha ido a la casa
Ri ajkʼaal yaabʼ sichaʼ qal ktzeʼnik	#qum# El niño está enfermo por eso no puede reir	Mi niña se ha hecho
Wu us qal utz laj chkop kir chʼulchʼaʼ ri che ri qtij	#qum# La mosca es un animal malo porque contamina lo	El hombre que no tiene nada que se le ve
Ataq kiʼ waʼljik ri ajkʼalobʼ konjeel keʼ bʼixnik	#qum# Cuando los niños se levantan todos cantan	El hombre que se ha hecho
Chke ri ajkʼalobʼ riliil rij xkeʼtijxik rech xkeʼqʼajlaʼnik	#qum# A los niños es necesario enseñarles a saludar	El hombre tiene una mujer que no se puede
Ri ajtzʼibʼnel xeʼrtzʼibʼaaj kʼiy q taʼ pqyolbʼaal	#qum# El escritor escribió varios cuentos en el	Caular de la casa de la mujer
Ri ixoq xtzʼonjok jrubʼ rjil wu akʼ	#qum# La señora preguntó cuanto vale la gallina	El hombre se ha echado la mano
wu klobʼ xyuqpjik ataq xchnaʼnik	#qum# El lazo se estiro porque se mojó	#qum# El hombre se ha ido
La laga rtija sale cuando hay sol	#qum# Sapo	# El hombre que se ha perdido la vida
Ri xaʼk chqiʼj chik	#qum# El trozo ya está seco	# El hombre no tiene el pelo
Ri xenxipr utz chi kunbʼal ri qulaj	#qum# Para curar la tos es bueno el jengibre	#qum# El niño se desfende de la tierra
Ri klobʼ ktumxik rukʼ xweelx	#qum# El laso lo hacen torcer con malacates	La casa de la madre
Ri ryaʼl tzmeʼy utz xtqum jun ixoq rech q al ri raal xtokʼwik	#qum# El agua de la	El hombre se ha ido a la casa para
Ri qʼabʼreel pakʼlik xkanjik ataq xtzaqik	#qum# El borracho cuando cayó quedó de boca arriba	Comparador de la casa de la mujer
Ri achii ataq xbʼeek chu rkʼamik siʼ qal xkʼambʼik ri rptem	#qum# El hombre cuando se fue a traer leña no llevó su mecapal	El hombre se ha ido de la casa de la mujer
Junbʼer xkʼuqbʼsxik ri rwiʼ rqʼabʼ tinmit	#qum# El año pasado se fundó el caserío	La gente tiene que tener la cabeza
Njeel jnobʼ kbʼanik ri nimaqʼʼij	#qum# Rech ri tinmit	# El hombre que se le dio la vida se le dio la vida
Ri ixoq xpe saqtqoj chriij	#qum# A la mujer le dió vahído	#qum# El hombre es un hombre que se ha puesto
Ri alaabʼ xtzaqik xqʼoch wu rqʼabʼ	#qum# El muchacho se cayó y se quebró la mano	#qum# El hombre que se ha ido a la casa
Ri wtziik xaq xchʼutij ri rchoch	#qum# Mi hermano apuntaló su casa	#qum# La mujer se va
Chqʼayaʼpon ri yaʼ kʼolik rchoch ri Leʼn	#qum# al otro lado del rio está la casa de Elena	La gente que se ha ido
wu ekʼaʼ kchuknik chu wiqbʼal	#qum# La cola de gallo sirve para adornar	#qum# El hombre que se ha puesto en el
Iwir xintzaqken ri qʼaxbʼal chaʼnbʼal ayer perdí el teléfono	#qum# Dolor	El hombre que no se ha hecho nada
Ri wkaan kʼolik kʼeebʼ rmyaʼlbʼaal	#qum# Mi tío tiene dos hijastras	El hombre que no ha ido a la casa no ha ido a la casa
Ri saqʼuul xaq tqʼaaj kiryaʼ wiʼ, El plátano solo se da en la costa	#qum# Palo blanco	El hombre que se ha ido a la casa
Iwir xqʼeq xojkʼobʼik pjun molbʼeem	#qum# Ayer en la tarde estuvimos en una reunión	# El hombre que se ha hecho el hombre
Ri ajkʼaal riliil rij kyuqxik chu ri rqʼabʼ	#qum# El niño se debe agarrar de la mano	#qum# El hombre se ha echado
Ri ajtiij xkʼuqbʼaʼ ri tatanool chu teem	#qum# El maestro lo mando a serntar al abuelo en la silla	La gente se ha hecho el trabajo
Qonjeel qqum qʼoor	#qum# Todos tomamos atol	#qum# El niño se le pone el pelo
A qué hora nos vamos al entierro	#qum# Dentro de un año	#qum# El hombre que se ha ido
Wu loʼn nmaq kkaʼyxik	#qum# Las frutas se ven grandes	El hombre que se ha ido a la casa
Ri kuch xibʼal squkʼ chriij	#qum# El cerdo tiene mucho piojo	# El hombre se ha ido en la cama
Ri lochʼ qal xchʼij ri qʼaaqʼ xelul chriij	#qum# El bebé no aguantó la fiebre	#qum# El hombre que se ha hecho el hombre
Ri aliit ataq kbʼeek pchʼiichʼ kiryaʼ xaʼw chre	#qum# la señorita cuando viaja en carro le da vómito	#qum# La mujer se ha ido a la casa de la mujer
Ri winaq keʼchʼoʼ jnik chrij ri yaʼ	#qum# La gente pelean por el agua	El hombre se ha ido a la casa
Ri wjow njeel qʼiij qal jamlik	#qum# Mi papá todos los días se mantiene ocupado	El pueblo de la ciudad de la ciudad de la
Chu wu jaay rech chʼabʼal kʼolik kʼeebʼ mulmik uleew	#qum# En frente la iglesia	#qum# El hombre se ha ido
Ri cheʼ qʼeʼlik xk anjik pri bʼeey	#qum# el árbol quedó atravesado en el camino	#qum# El hombre se ha ido
Ri chiij qʼeqqʼoj rkaʼybʼaal	#qum# El color de la oveja es medio negro	La casa de la gente se ha ido
Riliil riij ataq xtqum ri yaʼ nabʼeey xtrqowsxik	#qum# Es necesario cuando tomamos el agua	Mi niña se ha quedado en la casa
