input	reference	prediction
Tzʼajtzʼik rkaʼyxik ri rwoch ri waakx	#qum# La cara de la vaca se ve alargada	
Wu am kertij ri us ri ikʼoʼk chu xaan	#qum# La araña come las moscas que están en la pared	Tôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôô
Ataq kpetik nim jabʼ xibʼal ri senyabʼ	#qum# Kkanjik	Beleza el problema que se le ocurrió
Ri wjow kʼiy richlaal sichaʼ qal kkʼuqbʼik chjaay	#qum# mi papá tiene muchos parientes por eso no se mantiene en la casa	# El hombre que no se puso en la casa
Ataq kpetik jabʼ njeel ri qʼoos krexbʼik	#qum# Vejez	Comentarios de la gente que no se
Njeel ri ixiim xpokʼrik	#qum# Todo el maíz se apolillo	El pueblo de la ciudad de la Cueva
Ri uleew tjin rmeqʼik rum wu kʼex ri tjin kirbʼan ri achii chre	#qum# por el daño que el hombre está	El hombre se ha ido por la casa
Ri qʼoor chqaam xelul	#qum# La masa salió quebrada	️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
Ri limeet kchuknik chi r kʼolik ri ryaʼl chʼoxiʼ	#qum# La botella se utiliza para guardar miel	#qum# El hombre que no se le dio
Joʼ qonjeel rech xkojtaʼtjik che ri qajbʼeej	#qum# Vamos todos para que nos atieden nuestra	Título de la Casa de Dios
Ri nimaya ʼ xkʼiyik sichaʼ xuʼrmaʼ njeel ri tikaʼ	#qum# El río creció por eso se llevó toda la	Comodidad de la casa
Jomom ri cheʼ sichaʼ xkʼeq rquljaay	#qum# El árbol es grandicimo por eso le pego el rayo	El hombre se ha hecho el hombre que se ha hecho el hombre que se ha hecho el hombre
Ri knaqʼ ri kloqʼik pkʼeybʼal esmaj jun pajbʼal	#qum# El frijol que se compra en la plaza lo	# Alló lo que se hace en la casa
Ataq kintij knaqʼ kiryaʼ qʼaʼteew chwa	#qum# Cuando cómo frijol me da ardor de pecho	# Cuando se ha hecho el tiro se ha hecho el tiro
Njeel wu loʼn jexmaj rukʼ qʼatbʼal	#qum# Todas las frutas están rodajeada con cuchillo	El hombre ha sido herido por la mujer
Iwir ri nchuch xloqʼ bʼatzʼ pkʼeybʼal jaljoj kkaʼybʼaal	#qum# Ayer mi mamá compró hilo de varios colores	T'as bien fait de ne pas avoir déchiré le panorama
Ri elqʼoom xqitxik kum ri wnaq xaq rum wu xrelqʼaaj jun keej	#qum# El ladrón fue arrastrado por las	Título de la casa de la mujer
Ri rqan kiiy tjin rchiqik rum wu xoʼkik chkop txeʼ	#qum# Las matas de maguey se están secando por la plaga	## La gente se queda sin tejas
Ataq ktijik jun chooj nim rkunaal kraaj	#qum# Cuando se come un chompipe quiere mucho	## El hombre se ha puesto en el
Njeel ri rwiʼ jaay ktzʼujik	#qum# Todo el techo de ,la casa gotea	️️️️️️️️️️️️️️️️️️️️️️️️
El enfermo se empeoro porque salio bajo la lluvia	#qum# Quemar bien	️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
Ri molbʼeem kbʼanik chwuqubʼ qʼiij	#qum# La reun ion se realiza cada semana	️️️️️️️️️️️️️️️️️️️️️
Ri cheʼ xchiqik ri rxaq	#qum# El árbol se le seco las hojas	## Nu-mi-mi-mi-mi-mi-mi-mi-mi-mi-mi-mi-mi-mi-mi-mi-mi-mi
Rukʼ wu joʼq keʼ bʼanik qʼus laj alaʼs	#qum# Con el doblador se hacen muñecas decoradas	️Toda el pelo no se ha hecho nada
Julajuuj chiij xeʼr tij ri sjiʼl	#qum# el coyote se comió l as once ovejas	## El hombre no tiene que hacer nada
Ri achii xkʼoxbʼsaj ri rjlom ataq xtzaqik rukʼ ri jochlan chʼiichʼ	#qum# El hombre se go lpeó la	Mi niña que no se ha hecho nada
Ri knaqʼ saqtbʼin chetzʼiʼnik rtijik pjkʼom iik	#qum# El frujol blanco es delicioso comer en	# Comodidad de la gente es la que se hacía
El cerdo ensució el maíz	#qum# L avado	tôô de la gente se vê
Ri ixoq kiʼrbʼan ri klobʼ rukʼ ri saqkiiy ri kirbʼan rukʼ ri choʼl	#qum# La mujer hace lasos con la	Título de la Casa de la Mujer
Chetzʼiʼnik rtijik ri qʼooqʼ	#qum# El ayote es bien rico pa ra comer	Título de la familia de la familia
Nqaaj waʼchiʼ xchupik ri rchjiil ri ixoq	#qum# Cerca murió el marido de la mujer	# Levar el pelo al niño
Njeel ri subʼ tijmaj rum chʼoo y ataq xojsaqrik	#qum# Todo el tamal estaba comido por las ratas	Título de la Casa de la Mujer
Ataq kiʼjikxik ri cheʼ ri uleew sbʼajbʼoj kkanjik	#qum# Arena	# Comparado a la gente no se ve nada
Ri tzʼqubʼ kchuknik chu ri jsol cheʼ	#qum# El formón lo utiliza el carpintero	El hombre ha sido
Ri imul ataq kʼolik rqan iikʼ kelul chirtijik wu knaqʼ	#qum# El conejo cuando hay buena luna sale a comer el frijol	️Seo no se ha hecho nada para que se le
Ri ixoq ataq xwiʼtaaj ri akʼ kʼa xlechʼpij ri rtzʼumil	#qum# La mujer cuando mató a la gallina	#qum# El hombre se ha hecho el hombre
Ri rjujil uleew xsibʼrik wu riij	#qum# El documeto del terreno está ahumado	### El hombre que se ha hecho
Ri tzʼtuj ktij tochʼaʼ chu kwoy	#qum# La flor de milpa lo come las chorchas	Título El hombre que se ha ido
Riliil riij xtloqʼxik ri uleew	#qum# Es necesario cuidar la naturaleza	El hombre que se ha hecho el hombre
Ri knimalil ri ajkʼalobʼ ktij tzʼiʼlil	#qum# La mayoría de los niños consumen mucha galguería	# El hombre que no se ha ido
Ataq kokik saqʼiij yaax keʼlik ri waakx	#qum# Cuando entra el verano las vacas se ponen flacos	hyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛhyɛ
Ri ajkʼaal xwochʼ wu rwiʼ rqʼabʼ	#qum# El niño se majó el dedo	Título de la Casa de la Mujer
Ri nchuch xloqʼ ri paa kʼ pkʼeybʼal	#qum# Boca arriba	El hombre ha sido asesinado por la mujer
Ri ajkʼaal qal xchʼij kumu kʼten yaʼ xtixuul chriij	#qum# El niño no guantó porque se le regó agua	️️️️️️️️️️️️️️️️️️️️️️️️
Wu puʼt kxikʼnik chu taq ri kotzʼaj	#qum# La mariposa vuela entre las flores	## El hombre que no se ha ido
Njeel ri ya abʼ mixuʼtzrik	#qum# Todos los enfermos sanaron	# Comparador de la gente que no se ha hecho nada
Ri chnooj xchiqik kumu xqaaj teew chriij	#qum# La milpa se secó porque le cayó hielo	############ La casa es un buen lugar
Ri xpley kiryaʼ ataq jnum kawxik rukʼ ri chnooj	#qum# El frijol amarillo da cuando se siembra	El hombre que no se ha hecho
Ri yaʼ kʼolik rsaqiil	#qum# El agua tiene pureza	Título de la Casa de la Mujer
Jutzʼjik rkaʼxik ri rwiʼ rchoch wjow	#qum# El techo de la casa de mi papá se ve de forma triangulo	Tasará que se ha ido en la tierra
Ataq koʼqʼoʼk ri toltol chjaay labʼnel kʼolik chinaq xtkmik	#qum# Cuando el buhuo llega a	Título de la mujer que se ha hecho
Ri molbʼeem kech ri aj tijnel xbʼanik kabʼjiir	#qum# La reunión de los estudiantes se hizo anteayer	# Para conseguir el uso de la tierra se ha hecho
Ri nchuch kʼolik rmkoom	#qum# Mi mamá tiene sirvienta	El hombre ha sido
Ri ajkʼalobʼ xeʼoqʼik rum qal xkchʼak ri etzʼnim	#qum# Los niños empezaron a llorar cuando perdieron	#qum# El hombre se ha ido a la casa
Ri qyolbʼaal areʼ ri Sipakapense	#qum# Nuestro idioma es el Sipakapense	️️️️️️️️️️️️️️️️️️️️️️️️
Xaq qiʼn chik qal xmaj qʼaaqʼ ri jun jaay chik	#qum# Por un poco no alcanzo el fuego la otra casa	Título de la Casa de la Casa de la Casa
Ri rbʼaqʼ rwoch wnaq kirbʼan kʼex chke ri ajkʼ a lobʼ	#qum# El mal de ojo les afecta a los	#qum# El hombre que se ha hecho
Qal utz xtqtij ri chʼqaap	#qum# No es bueno comer el sobrante al otro día	️️️️️️️️️️️️️️️️️️️️️️️️️️️
Chke njeel ri wnaq xbʼiʼxik ke qal xeʼlbʼik xkoybʼeej ke xkʼisik ri molbʼeem	#qum# A todas las	Cuando se lleve el
Rech ri nima qʼiij rech tinmit qonjeel qyaʼ ri kchuuj	#qum# Para la fiesta del pueblo todos damos la contribución Ri achii xkanajken	## El tema es que se hacía cuando se había
Njeel ri chaak ri xbʼanik bʼusmaj riij sichaʼ utz xeʼloq	#qum# Todo el trabajo que se realizó estaba bien pensado por eso salió bien	# El hombre que no se ha visto
Tukkilaʼ kʼolik r i rchoch ri wnobʼ	#qum# Por allá está la casa de mi hermana	Comparado a la gente que no se
Njeel ri kotzʼaj ri rawmaj ri nchucch keq rkaʼybʼaal	#qum# Las flores que tiene sembrado mi mamá son de color rojo	El hombre que se ha hecho el hombre que se ha hecho el hombre que se ha hecho
Ri kchak ri ojor wnaq qaqchee chik kiʼ riqt jik	#qum# Los trabajos de los antiguos ya no se encuentran	Tamu
Ri saqbʼuch xkʼoxbʼsaaj ri chno oj	#qum# El granizo golpeo la milpa	El hombre no se ha ido de la casa de la mujer
wu ajkʼaal kiryaʼ achyam chre	#qum# Al niño le da estornudo	Título de la familia de los que no son niños
Pongale una cuña a la mesa	#qum# Codo	️Toda el año de la casa se va a hacer el
Cha niim xojelbʼ ik sichaʼ xojtz aljuul jnum	#qum# Salimos rápido por eso regresamos juntos	#qum# El hombre que se ha ido a la casa
Ri rtzʼibʼbʼaal ri ajtijnel xqʼeptjik	#qum# El lápiz del estudiante se quebró	# El niño se ha ido
Ri rwiʼ ri aliit pochʼmaj rukʼ ri rxqʼap	#qum# El cabello de la señorita está trensado con su	Título de la Casa de la Casa de Jesús
Chu ri qʼtal iil qal ri tzujnel xopnik	#qum# Ante el juez no se presentó el acusador	Título de la Casa de la Casa de la Casa de la Casa de la Casa
Estaba mojado la camisa del hombre por eso le dio fiebre	#qum# C ama wu chʼaat bʼantlik rukʼ	️Parque no se hace nada para el que se le ocurre
ri achii kʼolik rsmaal chu rkʼuʼx	#qum# El hom bre tiene bellos en el pecho	#### El hombre que se ha ido a la casa
La tabla es ancha	#qum# Pizarron	️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
Ri neʼ kchaknik pirqan jaay	#qum# El bebé gatea en el patio de la casa	️️️️️️️️️️️️️️️️️️️️️️️️️️️
Kʼolik wnaq qal chik knaʼtaj ri kbʼanbʼaal chke	#qum# Hay personas que ya no se recuerda de	# Compra para que se le haya
Wu ixoq kjororik wu rtzaʼm ataq kwrik	#qum# La señora ronca mucho cuando duerme	tôô de la gente
Ri rxaq juuj xaq qiʼn nakʼlook	#qum# La hoja de papel esta medio pegado	Título de la casa de los huesos
Ri wnaq ataq kʼolik jun chʼoʼj chkxoʼl ketzlaj kiibʼ	#qum# La gente cando existe entre ellos un problema se desprecian	#qum# La mujer que se ha ido
Ri tʼiqbʼal kchuknik chu rnukʼik ri qʼaaqʼ	#qum# El encendedor sirve para juntar el	# El hombre no se ha visto
Ataq kmo lik ri knaqʼ kʼolik rkʼolbʼaal waʼchiʼ kyoʼqqaj wiʼ	#qum# Cuando se junta	## El hombre que no tiene la vida
Ri waʼchiʼ kʼo ri wchoch mqʼen jyubʼ	#qum# Donde yo vivo es tierra caliente	Título de la casa de los niños
Ataq kojsaqrik ri tzeek koqʼik	#qum# C uando amanecemos el gallo canta	️️️️️️️️️️️️️️️️️️️
Njeel ri teem isetsik	#qum# Todas las bancas son redondas	️️️️️️️️️️️️️️️️️️️️️️️️️️️️
Ataq kjachʼik ri jal xaq xeew ri rqan chnooj kkanjik	#qum# Cuando se tapisca la	Tome que se ha hecho en el pueblo
wu qʼoor kookʼ xelul pwu keʼbʼal	#qum# La masa salió fino en el molino	️Curque de la gente que se ha hecho
Tráigalo	#qum# Ri ixoq	Tate que no se oye el que se oye
Rwaqlaaj rjnobʼ ri tijbʼal xtzʼaqtik	#qum# La escuela cumplió el decimo sexto año de	Título de la mujer
Ri loʼn chʼomchʼoj rtijik	#qum# La fruta está medio ácido	### El problema es que no se puede
Ri rxjabʼ ntatanool qʼeq kkaʼybʼaal	#qum# Los zapatos de mi abuelo es de color negro	# El pueblo de la Provincia de la Provincia de la Provincia de la Provincia de Provincia de Province
Njeel ri rxaq juuj xeʼ worik	#qum# Todas las hojas de papel se perforó	### La gente no sabe que se le va a perder cuando se le va a
Ri waakx lewlik wu rwoch	#qum# La vaca es de mejilla gorda Extendido	️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
Chu kxibʼxik ri chʼok kchuknik ri ixkeeqʼ	#qum# Para espantar a los zanates sirve la onda de pita	Tão é bom que nos puseram
Njeel ri ajkʼalobʼ xiʼ tuknik rum xibʼal kiibʼ	#qum# Todos los niños se dispersaron por el miedo	T DÓS DE LA FRA
Ri achii riʼj chik sichaʼ qal kirchʼij kbʼinik	#qum# El hombre ya es viejo por eso no aguanta caminar	T'as vu que te ha pasado
Riliil riij xtkʼutik ri kajwxik rbʼanik kukʼ ri wnaq	#qum# Es necesario mostrar lo que se quiere	## El hombre que se ha sacado no se ha sacado
Ri yuʼtz kʼebʼ muul xchuknik sichaʼ kamulbʼal rbʼiʼxik pqyolbʼaal	#qum# La	La gente se ha ido a la casa cuando se ha ido a la casa
Wu leem xkʼis ri knaqʼ	#qum# La tortuguilla terminó de comer el frijol	️Camio de la tierra tiene que ser
Wu jaws kkeʼxik chu kʼej	#qum# L a haba se muele para pinol	Tematófono de la gente
Wu chaak kow sichaʼ qal nim xkbʼan ri ajchaak	#qum# El trabajo está duro por eso no avanzaron los trabajadores	Título de la Casa de la Casa de la Casa
Wu nima xbʼoʼj leʼlik wu rchiʼ	#qum# La olla grande es de boca grande	Título de la Mujer En El Culo
Ri nooy kiʼ qʼoxwik ri rbʼaqil	#qum# La abuela le duele su hueso	️️️️️️️️️️️️️️️️️️️️️
Tkaal xkmik ri ntzʼiʼ rum riʼjaal	#qum# Mi perro se murió despacio ór la vejez	️️️️️️️️️️️️️️️️️️️️️️️️
Pri molbʼeem xaq kʼeebʼ ixoq xoʼpnik	#qum# En la reunión llegaron solo dos mujeres	Tome la mano de mi madre
Saqsi xkojyolwik chqatziij rtqriq kʼchiʼ ri utziil	#qum# Si hablamos con la verdad	#qum# El hombre que se ha ido
Pri uleew kʼolik kʼiy amluʼx abʼaj	#qum# En el terreno hay montones de piedras	Como se ha hecho el trabajo de la casa se ha hecho el trabajo de la casa
Rech qal xkojyolik, utz xttojik ri kʼaas	#qum# Para que no nos critiquen es bueno pagar la deuda	Comiendo en la casa de los que no son
Ri tikʼlik yaʼ qal utz kumu kiʼ poqʼnik ri raal us	#qum# Las aguas estancadas no es bueno	Tôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôôô
Ri tzʼiʼ xwos	#qum# El perro es travieso	️️️️️️️️️️️️️️️️️️️️️️️️️️️️
Kʼolik ri wnaq qal knmaj ri tyoox	#qum# Existen personas que no creen en las imágenes	Título de la Casa de la Mujer
Che rajlbʼaal rkʼosbʼik r i wtziik	#qum# Que fecha nació mi hermano	# El hombre que no se ha hecho nada
Ri nchuch yaabʼ rukʼ rqul	#qum# M i mamá está enfermo de la tos	Tre que la gente no tiene nada que
Ri ajkuun tlaʼ kʼolik rchoch waʼchiʼ rbʼiʼ oxchʼuʼk	#qum# la comadrona vive en el traingulo	todo el niño se ha ido
Ri rchaq akʼ utz xtqajik chxeʼ ri tikaʼ	#qum# La gall inaza es bueno para abonar la siembra	#qum# El hombre se ha puesto en la
Ataq kʼolik yaʼ tikʼlik xibʼal serat kiʼpoqʼnik	#qum# Cuando hay charcos de agua	Título do homem que não foi
ajsik xokul ri elqʼoom sicha ʼ qal xnaʼ ri tzʼiʼ	#qum# El ladrón entró arriba por eso no se dio cuenta el perro	️️️️️️️️️️️️️️️️️️️️️️️
Ataq xkʼosbʼik ri ajkʼaal rbʼaqʼtmaj riibʼ ri rkʼamaʼl rmuux pirqul	#qum# Cuando nacio el niño lo	La gente no sabe que se ha hecho
Ri keej bʼilbʼik wu rbʼaq rwoch	#qum# El caballo tiene los ojos grandes	# El niño se ha ido a la casa
El cuarto lo han barrido	#qum# Barrendero	El hombre ha sido asesinado por la mujer
Ri nchuch utz keʼrbʼan ri xkulbʼal	#qum# Mi mamá puede hacer petate	El hombre se ha ido por el pueblo
Ri pisbʼal ri juuj bʼantlik rukʼ miit	#qum# La en voltura del papel está hecho de algodón	# La gente no se ha visto nada que no se ha visto nada que no se ha visto nada que no sea
Njeel ri kʼyeej itzʼaplik	#qum# Todos los negocios están cerrados	Tome de la mujer
Xsqarsxik ri riil ri achii se aclaró el delito del hombre	#qum# Dirrecion	El pueblo tiene que ser más que la tierra
Chpom ri bʼeey xtukxik poqlaaj	#qum# En el camino se regó arena	## El hombre que no tiene la vida tiene la vida
Ri sʼaq tʼaq	#qum# La ropa está mojada	️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
Ataq xsiq ri tzʼiʼ ri qan chkop xtrambʼeej rech xwiʼtaaj	#qum# Cuando el perro olió las huellas del	Título de la familia de la mujer
Ri aliit xtzaqeel wu rkaʼ	#qum# La señorita se le cayó la muela	Temató por el que se le puso a la puerta
Ri tzʼiʼ xsok ri achii pirsmoqʼ	#qum# El perro lo hirió al hombre en la fosa poplítea	Tematura de la mano de la mujer
Ri siikʼ kirbʼan kʼex chu ri tzantzqʼor	#qum# El consumo del cigarro daña el cerebro	# La gente no se ve más cuando se ve
Ataq kpetik jabʼ wu kʼotzʼaj qʼus kkaʼyxik	#qum# Frijol	# Comodidad# El hombre que se ha
Ataq utz bʼanmaj ri chaak qal chik ktzuntzxik	#qum# Cuando está bien hecho el trabajo no es necesario repasarlo	Tonto que no se le dio
Ri ajmaak areʼ ri achi i ri xwiʼt aaj ri ixoq	#qum# El hombre que mató a la mujer es el culpable	#qum# El hombre que no se ha ido
Ri saqkʼim kchuknik chu kbʼanik xuʼk	#qum# El pajon blanco sirve para elaborar canastas	# El grupo de los que no se han visto
Latzʼ wu rpom jaay sichaʼ qal xiʼ kʼisook njeel ri wnaq	#qum# La casa es muy reducido por eso no	# El hombre que se ha ido a la casa
Ataq kqajik ri nabʼey rqan jabʼ keʼlul ri xkawalek	#qum# Cunado cae las primeras lluvias salen	### La gente que no está en la
Ri xbʼaj kirbʼan kʼex chu ri qsosobʼ	#qum# El aguardiente causa daños a nuestro hígado	El niño se hacía en la tierra cuando
Xeʼ taq ri abʼaj kiʼkʼobʼik ri kmatz	#qum# Debajo de las piedras están las culebras	#qum# El hombre que no se ha hecho nada
Ri tikaʼ kkʼiyik rum ri rmeqʼnal ri qʼiij	#qum# La siembra crece con el calor del sol	## Comentare en el que se le ocurre
Waqiibʼ iikʼ chi k xtqajik raal wu wakx	#qum# Entre seis meses va parir la vaca	Comodidad para el uso de la
Jun mlol ylooj xb ʼiʼnik re waʼ	#qum# Esto lo dijo un chismoso	Título de la Casa de la Casa
Ri albʼatz xyoʼqook chu rqirxik ri rwoch ixiim	#qum# La nuera se le puso a	#qum# El hombre que se ha dado la mano
Pirwiʼ ri jyubʼ xeʼqbʼnaʼ ri chʼabʼal maaya	#qum# En la cima del cerro fuimos hacer la ceremonia maya	Tobuzao que no
R i alaabʼ xtochʼ ri rqan rukʼ ri tochʼbʼal	#qum# El muchacho se cortó el pie con el machete	# La gente no se ha visto
Ri elqʼoom chaqʼabʼ xkelqʼaaj ri rwaakx wjow	#qum# Los ladrones de noche robaron la vaca de mi papá	# La gente se ha quedado
Ri nanyoox xaq kyabʼabʼ ik rum wu re tzaʼm	#qum# la señora siempre padece del catarro	## El hombre no tiene que hacer nada para que se le despierten
Najeʼl xbʼan ri wtziik ri rchoch	#qum# Mi hermano construyó su casa retirado a la mia	## El hombre se ha hecho el hombre que se ha hecho el hombre que
Ri aliit nmaq wu riim	#qum# La señorita tiene los pechos grandes	Compra a casa
Ri rbʼuch akʼ xnojik rukʼ rwoch ixiim	#qum# El buche de la gallina se llenó con granos de maíz	#qum# El hombre que no se ha ido
Pri ntinmit qal kʼiy moos ikʼolik	#qum# En mi pueblo hay pocos ladinos	#qum# El hombre se ha ido a la
Ri tzʼuum xchiqik chu qʼiij	#qum# El cuero se secó en el sol	Título de la Casa de la Mujer
Ri ajkʼaal yaabʼ sichaʼ qal ktzeʼnik	#qum# El niño está enfermo por eso no puede reir	#qum## El hombre que no se ha ido
Wu us qal utz laj chkop kir chʼulchʼaʼ ri che ri qtij	#qum# La mosca es un animal malo porque contamina lo	## El niño se ha ido
Ataq kiʼ waʼljik ri ajkʼalobʼ konjeel keʼ bʼixnik	#qum# Cuando los niños se levantan todos cantan	# El hombre que no se ha ido a la casa
Chke ri ajkʼalobʼ riliil rij xkeʼtijxik rech xkeʼqʼajlaʼnik	#qum# A los niños es necesario enseñarles a saludar	# Comentar la gente no se ha perdido
Ri ajtzʼibʼnel xeʼrtzʼibʼaaj kʼiy q taʼ pqyolbʼaal	#qum# El escritor escribió varios cuentos en el	## El hombre que no se ha hecho nada
Ri ixoq xtzʼonjok jrubʼ rjil wu akʼ	#qum# La señora preguntó cuanto vale la gallina	### Comodidad de la
wu klobʼ xyuqpjik ataq xchnaʼnik	#qum# El lazo se estiro porque se mojó	El hombre que no se ha echado
La laga rtija sale cuando hay sol	#qum# Sapo	## La casa de la mujer es de la mujer
Ri xaʼk chqiʼj chik	#qum# El trozo ya está seco	El hombre se ha hecho el hombre
Ri xenxipr utz chi kunbʼal ri qulaj	#qum# Para curar la tos es bueno el jengibre	# El hombre que no se ha ido a la casa
Ri klobʼ ktumxik rukʼ xweelx	#qum# El laso lo hacen torcer con malacates	#qum# El hombre se ha quedado
Ri ryaʼl tzmeʼy utz xtqum jun ixoq rech q al ri raal xtokʼwik	#qum# El agua de la	#qum# El hombre se ha puesto en la casa de la
Ri qʼabʼreel pakʼlik xkanjik ataq xtzaqik	#qum# El borracho cuando cayó quedó de boca arriba	El hombre no se ha hecho nada para
Ri achii ataq xbʼeek chu rkʼamik siʼ qal xkʼambʼik ri rptem	#qum# El hombre cuando se fue a traer leña no llevó su mecapal	Título de la Casa de la Casa de la Casa
Junbʼer xkʼuqbʼsxik ri rwiʼ rqʼabʼ tinmit	#qum# El año pasado se fundó el caserío	Tando que no se ha hecho nada
Njeel jnobʼ kbʼanik ri nimaqʼʼij	#qum# Rech ri tinmit	# El hombre que no se ha hecho
Ri ixoq xpe saqtqoj chriij	#qum# A la mujer le dió vahído	El hombre que no tiene nada que decir
Ri alaabʼ xtzaqik xqʼoch wu rqʼabʼ	#qum# El muchacho se cayó y se quebró la mano	El hombre se ha ido a la casa
Ri wtziik xaq xchʼutij ri rchoch	#qum# Mi hermano apuntaló su casa	# El hombre que no se ha hecho nada
Chqʼayaʼpon ri yaʼ kʼolik rchoch ri Leʼn	#qum# al otro lado del rio está la casa de Elena	Tonto que no se ha hecho
wu ekʼaʼ kchuknik chu wiqbʼal	#qum# La cola de gallo sirve para adornar	# Para evitar el problema se utilizó la
Iwir xintzaqken ri qʼaxbʼal chaʼnbʼal ayer perdí el teléfono	#qum# Dolor	Mi niña se ha hecho el
Ri wkaan kʼolik kʼeebʼ rmyaʼlbʼaal	#qum# Mi tío tiene dos hijastras	# El hombre no se hacía nada
Ri saqʼuul xaq tqʼaaj kiryaʼ wiʼ, El plátano solo se da en la costa	#qum# Palo blanco	Compra a la casa de la mujer
Iwir xqʼeq xojkʼobʼik pjun molbʼeem	#qum# Ayer en la tarde estuvimos en una reunión	Teniendo el pelo que no se
Ri ajkʼaal riliil rij kyuqxik chu ri rqʼabʼ	#qum# El niño se debe agarrar de la mano	########### No se puede
Ri ajtiij xkʼuqbʼaʼ ri tatanool chu teem	#qum# El maestro lo mando a serntar al abuelo en la silla	#qum# El hombre que no se ha hecho
Qonjeel qqum qʼoor	#qum# Todos tomamos atol	️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
A qué hora nos vamos al entierro	#qum# Dentro de un año	️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️
