input	reference	prediction
Ataq ktijik jun chooj nim rkunaal kraaj	#qum# Cuando se come un chompipe quiere mucho	                                                                                                  
Njeel ri rwiʼ jaay ktzʼujik	#qum# Todo el techo de ,la casa gotea	Njeel ri rwiʼ jaay ktzʼujik
El enfermo se empeoro porque salio bajo la lluvia	#qum# Quemar bien	El enfermo se empeoro porque salía bajo la lluvia
Ri molbʼeem kbʼanik chwuqubʼ qʼiij	#qum# La reun ion se realiza cada semana	Ri molbʼeem kbʼanik chwuqubʼ qʼiij
Ri cheʼ xchiqik ri rxaq	#qum# El árbol se le seco las hojas	                                                                                                  
Rukʼ wu joʼq keʼ bʼanik qʼus laj alaʼs	#qum# Con el doblador se hacen muñecas decoradas	Rukʼ wu joʼq keʼ bʼanik qʼus laj alaʼs
Julajuuj chiij xeʼr tij ri sjiʼl	#qum# el coyote se comió l as once ovejas	Julajuuj chiij x'r tij riji'l
Ri achii xkʼoxbʼsaj ri rjlom ataq xtzaqik rukʼ ri jochlan chʼiichʼ	#qum# El hombre se go lpeó la	                                                                                                  
Ri knaqʼ saqtbʼin chetzʼiʼnik rtijik pjkʼom iik	#qum# El frujol blanco es delicioso comer en	Ri knaqʼ saqtbʼin chetzʼiʼnik rtijik pjkʼom iik
El cerdo ensució el maíz	#qum# L avado	El cerdo ensució el maíz
Ri ixoq kiʼrbʼan ri klobʼ rukʼ ri saqkiiy ri kirbʼan rukʼ ri choʼl	#qum# La mujer hace lasos con la	Ixoq kiʼrbʼan ri klobʼ rukʼ ri saqkiiy ri kirbʼan rukʼ ri choʼl
Chetzʼiʼnik rtijik ri qʼooqʼ	#qum# El ayote es bien rico pa ra comer	                                                                                                  
Nqaaj waʼchiʼ xchupik ri rchjiil ri ixoq	#qum# Cerca murió el marido de la mujer	Nqaaj waʼchiʼ xchupik ri rchjiil ri ixoq
Njeel ri subʼ tijmaj rum chʼoo y ataq xojsaqrik	#qum# Todo el tamal estaba comido por las ratas	Njeel ri subʼ tijmaj rum chʼoo y ataq xojsaqrik
Ataq kiʼjikxik ri cheʼ ri uleew sbʼajbʼoj kkanjik	#qum# Arena	Ataq kiʼjikxik riʼ cheʼ ri uleew sbʼajbʼoj kkanjik
Ri tzʼqubʼ kchuknik chu ri jsol cheʼ	#qum# El formón lo utiliza el carpintero	                                                                                                  
Ri imul ataq kʼolik rqan iikʼ kelul chirtijik wu knaqʼ	#qum# El conejo cuando hay buena luna sale a comer el frijol	Ri imul ataq kʼolik rqan iikʼ kelul chirtijik wu knaqʼ
Ri ixoq ataq xwiʼtaaj ri akʼ kʼa xlechʼpij ri rtzʼumil	#qum# La mujer cuando mató a la gallina	                                                                                                  
Ri rjujil uleew xsibʼrik wu riij	#qum# El documeto del terreno está ahumado	Rjujil uleew xsibʼrik wu riij
Ri tzʼtuj ktij tochʼaʼ chu kwoy	#qum# La flor de milpa lo come las chorchas	Ri tzʼtuj ktij toʼaʼ chu kwoy
Riliil riij xtloqʼxik ri uleew	#qum# Es necesario cuidar la naturaleza	Riliil riij xtloqʼxik ri uleew
Ri knimalil ri ajkʼalobʼ ktij tzʼiʼlil	#qum# La mayoría de los niños consumen mucha galguería	Ri knimalil ri ajkʼalobʼ ktij tzʼiʼlil
Ataq kokik saqʼiij yaax keʼlik ri waakx	#qum# Cuando entra el verano las vacas se ponen flacos	Ataq kokik saqʼiij yaax keʼlik ri waakx
Ri ajkʼaal xwochʼ wu rwiʼ rqʼabʼ	#qum# El niño se majó el dedo	                                                                                                  
Ri nchuch xloqʼ ri paa kʼ pkʼeybʼal	#qum# Boca arriba	                                                                                                  
Ri ajkʼaal qal xchʼij kumu kʼten yaʼ xtixuul chriij	#qum# El niño no guantó porque se le regó agua	Ri ajkʼaal qal xchʼij kumu kʼten yaʼ xtixuul kriij
Wu puʼt kxikʼnik chu taq ri kotzʼaj	#qum# La mariposa vuela entre las flores	Wu put kxikʼnik chu taq ri kotzʼaj
Njeel ri ya abʼ mixuʼtzrik	#qum# Todos los enfermos sanaron	Njeel ri ya abʼ mixuʼtzrik
Ri chnooj xchiqik kumu xqaaj teew chriij	#qum# La milpa se secó porque le cayó hielo	
Ri xpley kiryaʼ ataq jnum kawxik rukʼ ri chnooj	#qum# El frijol amarillo da cuando se siembra	xpley kiryaʼ ataq jnum kawxik rukʼ ri chnooj
Ri yaʼ kʼolik rsaqiil	#qum# El agua tiene pureza	Ri yaʼ kʼolik rsaqiil
Jutzʼjik rkaʼxik ri rwiʼ rchoch wjow	#qum# El techo de la casa de mi papá se ve de forma triangulo	                                                                                                  
Ataq koʼqʼoʼk ri toltol chjaay labʼnel kʼolik chinaq xtkmik	#qum# Cuando el buhuo llega a	Ataq koʼqʼoʼk ri toltol chjaay labʼnel kʼolik chinaq xtkmik
Ri molbʼeem kech ri aj tijnel xbʼanik kabʼjiir	#qum# La reunión de los estudiantes se hizo anteayer	                                                                                                  
Ri nchuch kʼolik rmkoom	#qum# Mi mamá tiene sirvienta	
Ri ajkʼalobʼ xeʼoqʼik rum qal xkchʼak ri etzʼnim	#qum# Los niños empezaron a llorar cuando perdieron	Ri ajk'alob' xe'oq'ik rum qal xk'ch'ak ri etz'nim
Ri qyolbʼaal areʼ ri Sipakapense	#qum# Nuestro idioma es el Sipakapense	                                                                                                  
Xaq qiʼn chik qal xmaj qʼaaqʼ ri jun jaay chik	#qum# Por un poco no alcanzo el fuego la otra casa	Xaq qiʼn chik qal xmaj qʼaaqʼ ri jun jaay chik
Ri rbʼaqʼ rwoch wnaq kirbʼan kʼex chke ri ajkʼ a lobʼ	#qum# El mal de ojo les afecta a los	Rbʼaqʼ roch wnaq kirbʼan kʼex chke ri ajkʼ a lobʼ
Qal utz xtqtij ri chʼqaap	#qum# No es bueno comer el sobrante al otro día	Qal utz xtqtij ri ch'qaap
Chke njeel ri wnaq xbʼiʼxik ke qal xeʼlbʼik xkoybʼeej ke xkʼisik ri molbʼeem	#qum# A todas las	Chke njeel ri wnaq xbʼiʼxik ke qal xeʼlbʼik xkoybʼeej ke xkʼisik ri molbʼeem
Rech ri nima qʼiij rech tinmit qonjeel qyaʼ ri kchuuj	#qum# Para la fiesta del pueblo todos damos la contribución Ri achii xkanajken	R
Njeel ri chaak ri xbʼanik bʼusmaj riij sichaʼ utz xeʼloq	#qum# Todo el trabajo que se realizó estaba bien pensado por eso salió bien	Njeel ri chaak ri xbʼanik bʼusmaj riij sichaʼ utz xeʼloq
Tukkilaʼ kʼolik r i rchoch ri wnobʼ	#qum# Por allá está la casa de mi hermana	Tukkila kʼolik rʼi rʼokch ri wnob
Njeel ri kotzʼaj ri rawmaj ri nchucch keq rkaʼybʼaal	#qum# Las flores que tiene sembrado mi mamá son de color rojo	
Ri kchak ri ojor wnaq qaqchee chik kiʼ riqt jik	#qum# Los trabajos de los antiguos ya no se encuentran	                                                                                                  
Ri saqbʼuch xkʼoxbʼsaaj ri chno oj	#qum# El granizo golpeo la milpa	Ri saqbʼuch xkʼoxbʼsaaj ri chno oj
wu ajkʼaal kiryaʼ achyam chre	#qum# Al niño le da estornudo	u ajkʼaal kiryaʼ achyam chre
Pongale una cuña a la mesa	#qum# Codo	Pongale una cuña a la mesa
Cha niim xojelbʼ ik sichaʼ xojtz aljuul jnum	#qum# Salimos rápido por eso regresamos juntos	Cha nim xojelb' ik sicha' xojtz aljuul jnum
Ri rtzʼibʼbʼaal ri ajtijnel xqʼeptjik	#qum# El lápiz del estudiante se quebró	Rtzʼibʼbʼaal ri ajtijnel xqʼeptjik
Ri rwiʼ ri aliit pochʼmaj rukʼ ri rxqʼap	#qum# El cabello de la señorita está trensado con su	Rwiʼʼriʼit pochʼmaj rukʼʼ ri rxqʼap
Chu ri qʼtal iil qal ri tzujnel xopnik	#qum# Ante el juez no se presentó el acusador	
Estaba mojado la camisa del hombre por eso le dio fiebre	#qum# C ama wu chʼaat bʼantlik rukʼ	Estaba mojado la camisa del hombre por eso le dio fiebre
ri achii kʼolik rsmaal chu rkʼuʼx	#qum# El hom bre tiene bellos en el pecho	                                                                                                  
La tabla es ancha	#qum# Pizarron	La tabla es ancha
Ri neʼ kchaknik pirqan jaay	#qum# El bebé gatea en el patio de la casa	Ri neʼ kchaknik pirqan jaay
Kʼolik wnaq qal chik knaʼtaj ri kbʼanbʼaal chke	#qum# Hay personas que ya no se recuerda de	Kʼolik wnaq qal chik knaʼtaj ri kbʼanbʼaal chke
Wu ixoq kjororik wu rtzaʼm ataq kwrik	#qum# La señora ronca mucho cuando duerme	                                                                                                  
Ri rxaq juuj xaq qiʼn nakʼlook	#qum# La hoja de papel esta medio pegado	Rxaq juuj xaq qiʼn nakʼlook
Ri wnaq ataq kʼolik jun chʼoʼj chkxoʼl ketzlaj kiibʼ	#qum# La gente cando existe entre ellos un problema se desprecian	Ri wnaq ataq kʼolik jun oʼj kxoʼl ketzlaj kiibʼ
Ri tʼiqbʼal kchuknik chu rnukʼik ri qʼaaqʼ	#qum# El encendedor sirve para juntar el	Ri t'iqb'al kchuknik chu rnuk'ik ri q'aaq'
Ataq kmo lik ri knaqʼ kʼolik rkʼolbʼaal waʼchiʼ kyoʼqqaj wiʼ	#qum# Cuando se junta	Ataq kmo lik ri knaqʼ kʼolik rkʼolbʼaal waʼchiʼ kyoʼqqaj wiʼ
Ri waʼchiʼ kʼo ri wchoch mqʼen jyubʼ	#qum# Donde yo vivo es tierra caliente	Ri waʼchiʼ kʼo ri wchoch mqʼen jyubʼ
Ataq kojsaqrik ri tzeek koqʼik	#qum# C uando amanecemos el gallo canta	Ataq kojsaqrik ri tzeek koqʼik
Njeel ri teem isetsik	#qum# Todas las bancas son redondas	                                                                                                  
Ataq kjachʼik ri jal xaq xeew ri rqan chnooj kkanjik	#qum# Cuando se tapisca la	                                                                                                  
wu qʼoor kookʼ xelul pwu keʼbʼal	#qum# La masa salió fino en el molino	uor kook xeluluuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuu
Tráigalo	#qum# Ri ixoq	                                                                                                  
Rwaqlaaj rjnobʼ ri tijbʼal xtzʼaqtik	#qum# La escuela cumplió el decimo sexto año de	Rwaqlaaj rjnob  ri tijbʼal xtzʼaqtik
Ri loʼn chʼomchʼoj rtijik	#qum# La fruta está medio ácido	Ri loʼn chʼomchʼoj rtijik
Ri rxjabʼ ntatanool qʼeq kkaʼybʼaal	#qum# Los zapatos de mi abuelo es de color negro	Rxjabʼ ntatanool qʼeq kkaʼybʼaal
Njeel ri rxaq juuj xeʼ worik	#qum# Todas las hojas de papel se perforó	                                                                                                  
Ri waakx lewlik wu rwoch	#qum# La vaca es de mejilla gorda Extendido	Ri waakx lewlik wu rwoch
Chu kxibʼxik ri chʼok kchuknik ri ixkeeqʼ	#qum# Para espantar a los zanates sirve la onda de pita	Chu kxibʼxik ri chʼok kchuknik ri ixkeeqʼ
Njeel ri ajkʼalobʼ xiʼ tuknik rum xibʼal kiibʼ	#qum# Todos los niños se dispersaron por el miedo	Njeel ri ajkʼalobʼ xiʼ tuknik rum xibʼal kiibʼ
Ri achii riʼj chik sichaʼ qal kirchʼij kbʼinik	#qum# El hombre ya es viejo por eso no aguanta caminar	Ri achii riʼj chik sichaʼ qal kirchʼij kbʼinik
Riliil riij xtkʼutik ri kajwxik rbʼanik kukʼ ri wnaq	#qum# Es necesario mostrar lo que se quiere	Riliil riij xtkʼutik ri kajwxik rbʼanik kukʼ ri wnaq
Ri yuʼtz kʼebʼ muul xchuknik sichaʼ kamulbʼal rbʼiʼxik pqyolbʼaal	#qum# La	Ri yuʼtz kʼebʼ muul xchuknik sichaʼ kamulbʼal rbʼiʼxik pqyolbʼaal
Wu leem xkʼis ri knaqʼ	#qum# La tortuguilla terminó de comer el frijol	Wu leem xkʼis ri knaqʼ
Wu jaws kkeʼxik chu kʼej	#qum# L a haba se muele para pinol	Wu jaws kkeʼxik chu kʼej
Wu chaak kow sichaʼ qal nim xkbʼan ri ajchaak	#qum# El trabajo está duro por eso no avanzaron los trabajadores	Wu chaak kow sichaʼ qal nim xkbʼan ri ajchaak
Wu nima xbʼoʼj leʼlik wu rchiʼ	#qum# La olla grande es de boca grande	Wu nima xbʼoʼj leʼlik wu rchiʼ
Ri nooy kiʼ qʼoxwik ri rbʼaqil	#qum# La abuela le duele su hueso	Ri nooy kiʼ qʼoxwik ri rbʼaqil
Tkaal xkmik ri ntzʼiʼ rum riʼjaal	#qum# Mi perro se murió despacio ór la vejez	Tkaal xkmik ri ntzʼiʼ rum riʼjaal
Pri molbʼeem xaq kʼeebʼ ixoq xoʼpnik	#qum# En la reunión llegaron solo dos mujeres	                                                                                                  
Saqsi xkojyolwik chqatziij rtqriq kʼchiʼ ri utziil	#qum# Si hablamos con la verdad	Saqsi xkojyolwik chqatziij rtqriq kʼchiʼ ri ri utziil
Pri uleew kʼolik kʼiy amluʼx abʼaj	#qum# En el terreno hay montones de piedras	Pri uleew kʼolik kʼiy amluʼx abʼaj
Rech qal xkojyolik, utz xttojik ri kʼaas	#qum# Para que no nos critiquen es bueno pagar la deuda	R
Ri tikʼlik yaʼ qal utz kumu kiʼ poqʼnik ri raal us	#qum# Las aguas estancadas no es bueno	tik'lik ya' qal utz kumu ki' poq'nik ri raal us
Ri tzʼiʼ xwos	#qum# El perro es travieso	                                                                                                  
Kʼolik ri wnaq qal knmaj ri tyoox	#qum# Existen personas que no creen en las imágenes	Kʼolik ri wnaq qal knmaj ri tyoox
Che rajlbʼaal rkʼosbʼik r i wtziik	#qum# Que fecha nació mi hermano	Che rajlbʼaal rkʼosbʼik r i wtziik
Ri nchuch yaabʼ rukʼ rqul	#qum# M i mamá está enfermo de la tos	R
Ri ajkuun tlaʼ kʼolik rchoch waʼchiʼ rbʼiʼ oxchʼuʼk	#qum# la comadrona vive en el traingulo	Ri ajkuun  kʼolik rchoch waʼchi  rbʼi  oxchʼuʼk
Ri rchaq akʼ utz xtqajik chxeʼ ri tikaʼ	#qum# La gall inaza es bueno para abonar la siembra	Rch ak ut xtqajik chxe ri tika
Ataq kʼolik yaʼ tikʼlik xibʼal serat kiʼpoqʼnik	#qum# Cuando hay charcos de agua	Ataq kʼolik yaʼ tikʼlik xibʼal serat kiʼpoqʼnik
ajsik xokul ri elqʼoom sicha ʼ qal xnaʼ ri tzʼiʼ	#qum# El ladrón entró arriba por eso no se dio cuenta el perro	                                                                                                  
Ataq xkʼosbʼik ri ajkʼaal rbʼaqʼtmaj riibʼ ri rkʼamaʼl rmuux pirqul	#qum# Cuando nacio el niño lo	Ataq xkʼosbʼik ri ajkʼaal rbʼaqʼtmaj riibʼ ri rkʼamaʼl rmuux pirqul
Ri keej bʼilbʼik wu rbʼaq rwoch	#qum# El caballo tiene los ojos grandes	Ri keej bʼilbʼik wu rbʼaq rwoch
El cuarto lo han barrido	#qum# Barrendero	El cuarto lo han barrido
Ri nchuch utz keʼrbʼan ri xkulbʼal	#qum# Mi mamá puede hacer petate	                                                                                                  
Ri pisbʼal ri juuj bʼantlik rukʼ miit	#qum# La en voltura del papel está hecho de algodón	Ri pisbʼal ri juuj bʼantlik rukʼ miit
Njeel ri kʼyeej itzʼaplik	#qum# Todos los negocios están cerrados	Njeel ri kʼyeej itzʼaplik
Xsqarsxik ri riil ri achii se aclaró el delito del hombre	#qum# Dirrecion	
Chpom ri bʼeey xtukxik poqlaaj	#qum# En el camino se regó arena	
Ri sʼaq tʼaq	#qum# La ropa está mojada	Ri s'aq t'aq
Ataq xsiq ri tzʼiʼ ri qan chkop xtrambʼeej rech xwiʼtaaj	#qum# Cuando el perro olió las huellas del	                                                                                                  
Ri aliit xtzaqeel wu rkaʼ	#qum# La señorita se le cayó la muela	Ri aliit xtzaqeel wu rkaʼ
Ri tzʼiʼ xsok ri achii pirsmoqʼ	#qum# El perro lo hirió al hombre en la fosa poplítea	                                                                                                  
Ri siikʼ kirbʼan kʼex chu ri tzantzqʼor	#qum# El consumo del cigarro daña el cerebro	Ri siʼ kirbʼan kʼex chu ri tzantzqʼor
Ataq kpetik jabʼ wu kʼotzʼaj qʼus kkaʼyxik	#qum# Frijol	Ataq kpetik jabʼ wu kʼotzʼaj qʼus kʼaʼyxik
Ataq utz bʼanmaj ri chaak qal chik ktzuntzxik	#qum# Cuando está bien hecho el trabajo no es necesario repasarlo	                                                                                                  
Ri ajmaak areʼ ri achi i ri xwiʼt aaj ri ixoq	#qum# El hombre que mató a la mujer es el culpable	
Ri saqkʼim kchuknik chu kbʼanik xuʼk	#qum# El pajon blanco sirve para elaborar canastas	Ri saqkʼim kchuknik chu kbʼanik xuʼk
Latzʼ wu rpom jaay sichaʼ qal xiʼ kʼisook njeel ri wnaq	#qum# La casa es muy reducido por eso no	Latz' wu rpom jaay sicha' qal xi' k'isook njeel ri wnaq
Ataq kqajik ri nabʼey rqan jabʼ keʼlul ri xkawalek	#qum# Cunado cae las primeras lluvias salen	Ataq kqajik ri nabʼey rqan jabʼ keʼlul ri xkawalek
Ri xbʼaj kirbʼan kʼex chu ri qsosobʼ	#qum# El aguardiente causa daños a nuestro hígado	                                                                                                  
Xeʼ taq ri abʼaj kiʼkʼobʼik ri kmatz	#qum# Debajo de las piedras están las culebras	Xe' taq ri ab'aj ki'k'ob'ik ri kmatz
Ri tikaʼ kkʼiyik rum ri rmeqʼnal ri qʼiij	#qum# La siembra crece con el calor del sol	Ri tikaʼ kkʼiyik rum ri rmeqʼnal ri qʼiij
Waqiibʼ iikʼ chi k xtqajik raal wu wakx	#qum# Entre seis meses va parir la vaca	Waqiibʼ iikʼ chi k xtqajik raal wu wakx
Jun mlol ylooj xb ʼiʼnik re waʼ	#qum# Esto lo dijo un chismoso	                                                                                                  
Ri albʼatz xyoʼqook chu rqirxik ri rwoch ixiim	#qum# La nuera se le puso a	                                                                                                  
Pirwiʼ ri jyubʼ xeʼqbʼnaʼ ri chʼabʼal maaya	#qum# En la cima del cerro fuimos hacer la ceremonia maya	Pirwiʼ ri jyubʼ xeʼqbʼnaʼ ri chʼabʼal maaya
R i alaabʼ xtochʼ ri rqan rukʼ ri tochʼbʼal	#qum# El muchacho se cortó el pie con el machete	                                                                                                  
Ri elqʼoom chaqʼabʼ xkelqʼaaj ri rwaakx wjow	#qum# Los ladrones de noche robaron la vaca de mi papá	                                                                                                  
Ri nanyoox xaq kyabʼabʼ ik rum wu re tzaʼm	#qum# la señora siempre padece del catarro	Ri nanyoox xaq kyabʼabʼ ik rum wu re tzaʼm
Najeʼl xbʼan ri wtziik ri rchoch	#qum# Mi hermano construyó su casa retirado a la mia	Najeʼl xbʼan ri wtziik ri rchoch
Ri aliit nmaq wu riim	#qum# La señorita tiene los pechos grandes	Ri aliit nmaq wu riim
Ri rbʼuch akʼ xnojik rukʼ rwoch ixiim	#qum# El buche de la gallina se llenó con granos de maíz	Rbʼuch akʼ xnojik rukʼ rwoch ixiim
Pri ntinmit qal kʼiy moos ikʼolik	#qum# En mi pueblo hay pocos ladinos	                                                                                                  
Ri tzʼuum xchiqik chu qʼiij	#qum# El cuero se secó en el sol	                                                                                                  
Ri ajkʼaal yaabʼ sichaʼ qal ktzeʼnik	#qum# El niño está enfermo por eso no puede reir	Ri ajkʼaal yaabʼ sichaʼ qal ktzeʼnik
Wu us qal utz laj chkop kir chʼulchʼaʼ ri che ri qtij	#qum# La mosca es un animal malo porque contamina lo	us qal utz laj chkop kir chʼulchʼaʼ ri che ri qtij
Ataq kiʼ waʼljik ri ajkʼalobʼ konjeel keʼ bʼixnik	#qum# Cuando los niños se levantan todos cantan	Ataq kiʼ waʼljik ri ajkʼalobʼ konjeel keʼ bʼixnik
Chke ri ajkʼalobʼ riliil rij xkeʼtijxik rech xkeʼqʼajlaʼnik	#qum# A los niños es necesario enseñarles a saludar	                                                                                                  
Ri ajtzʼibʼnel xeʼrtzʼibʼaaj kʼiy q taʼ pqyolbʼaal	#qum# El escritor escribió varios cuentos en el	Ri ajtzʼibʼnel xeʼrtzʼibʼaaj kʼiy qʼaʼ pqyolbʼaal
Ri ixoq xtzʼonjok jrubʼ rjil wu akʼ	#qum# La señora preguntó cuanto vale la gallina	                                                                                                  
wu klobʼ xyuqpjik ataq xchnaʼnik	#qum# El lazo se estiro porque se mojó	                                                                                                  
La laga rtija sale cuando hay sol	#qum# Sapo	La laga rtija sale cuando hay sol
Ri xaʼk chqiʼj chik	#qum# El trozo ya está seco	Ri xaʼk chqiʼj chik
Ri xenxipr utz chi kunbʼal ri qulaj	#qum# Para curar la tos es bueno el jengibre	
Ri klobʼ ktumxik rukʼ xweelx	#qum# El laso lo hacen torcer con malacates	                                                                                                  
Ri ryaʼl tzmeʼy utz xtqum jun ixoq rech q al ri raal xtokʼwik	#qum# El agua de la	                                                                                                  
Ri qʼabʼreel pakʼlik xkanjik ataq xtzaqik	#qum# El borracho cuando cayó quedó de boca arriba	Ri qʼabʼreel pakʼlik xkanjik ataq xtzaqik
Ri achii ataq xbʼeek chu rkʼamik siʼ qal xkʼambʼik ri rptem	#qum# El hombre cuando se fue a traer leña no llevó su mecapal	Ri achii ataq xbʼeek chu rkʼamik siʼ qal xkʼambʼik ri rptem
Junbʼer xkʼuqbʼsxik ri rwiʼ rqʼabʼ tinmit	#qum# El año pasado se fundó el caserío	nbʼer xkʼuqbʼsxik ri rwiʼ rqʼab tinmit
Njeel jnobʼ kbʼanik ri nimaqʼʼij	#qum# Rech ri tinmit	Njeel jno kʼanik ri nimaqʼij
