input	reference	prediction
Ri tzʼtuj ktij tochʼaʼ chu kwoy	#qum# La flor de milpa lo come las chorchas	I'm not sure what I'm saying.
Riliil riij xtloqʼxik ri uleew	#qum# Es necesario cuidar la naturaleza	La Comisión adoptará actos de ejecución en conformidad con el artículo 21 del Tratado.
Ri knimalil ri ajkʼalobʼ ktij tzʼiʼlil	#qum# La mayoría de los niños consumen mucha galguería	La Comisión adoptará actos de ejecución de conformidad con el artículo 21 del Reglamento Financiero
Ataq kokik saqʼiij yaax keʼlik ri waakx	#qum# Cuando entra el verano las vacas se ponen flacos	 la que la gente se veía a la que la gente se veía a la que la gente se veía a la que la gente se veía a la que la gente se veía a la que la gente se veía a la que la gente se veía a la que la gente se veía a la que la gente se veía a la que la gente se veía a la que la gente se veía a la que la gente se veía a la que la que la gente se veía a la que la gente se veía a la que la gente se veía a la que la que la gente se veía a la que la que la que se veía
Ri ajkʼaal xwochʼ wu rwiʼ rqʼabʼ	#qum# El niño se majó el dedo	           
Ri nchuch xloqʼ ri paa kʼ pkʼeybʼal	#qum# Boca arriba	la parte de la mesa de la mesa se va a la hora de la fiesta
Ri ajkʼaal qal xchʼij kumu kʼten yaʼ xtixuul chriij	#qum# El niño no guantó porque se le regó agua	                                                                                                  
Wu puʼt kxikʼnik chu taq ri kotzʼaj	#qum# La mariposa vuela entre las flores	####### ######### El mundo se va a la vida
Njeel ri ya abʼ mixuʼtzrik	#qum# Todos los enfermos sanaron	                                       
Ri chnooj xchiqik kumu xqaaj teew chriij	#qum# La milpa se secó porque le cayó hielo	A. El cuesta el cuelo
Ri xpley kiryaʼ ataq jnum kawxik rukʼ ri chnooj	#qum# El frijol amarillo da cuando se siembra	️       
Ri yaʼ kʼolik rsaqiil	#qum# El agua tiene pureza	                                    
Jutzʼjik rkaʼxik ri rwiʼ rchoch wjow	#qum# El techo de la casa de mi papá se ve de forma triangulo	                
Ataq koʼqʼoʼk ri toltol chjaay labʼnel kʼolik chinaq xtkmik	#qum# Cuando el buhuo llega a	Attaq ko'q'o'q ri tol tol ch'ajá lab'el k'olik chinaq xtkmik
Ri molbʼeem kech ri aj tijnel xbʼanik kabʼjiir	#qum# La reunión de los estudiantes se hizo anteayer	La mesa de la noche se va a la noche
Ri nchuch kʼolik rmkoom	#qum# Mi mamá tiene sirvienta	la Comisión se fiera de la Comisión de la información sobre la información
Ri ajkʼalobʼ xeʼoqʼik rum qal xkchʼak ri etzʼnim	#qum# Los niños empezaron a llorar cuando perdieron	                 
Ri qyolbʼaal areʼ ri Sipakapense	#qum# Nuestro idioma es el Sipakapense	         
Xaq qiʼn chik qal xmaj qʼaaqʼ ri jun jaay chik	#qum# Por un poco no alcanzo el fuego la otra casa	                                                                                                 
Ri rbʼaqʼ rwoch wnaq kirbʼan kʼex chke ri ajkʼ a lobʼ	#qum# El mal de ojo les afecta a los	a la parte de la parte de la parte de la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que se ha hecho la que ha hecho la que se ha hecho.
Qal utz xtqtij ri chʼqaap	#qum# No es bueno comer el sobrante al otro día	# La Comisión debe adoptar actos de ejecución de conformidad con el artículo 21 del Reglamento Financiero
Chke njeel ri wnaq xbʼiʼxik ke qal xeʼlbʼik xkoybʼeej ke xkʼisik ri molbʼeem	#qum# A todas las	
Rech ri nima qʼiij rech tinmit qonjeel qyaʼ ri kchuuj	#qum# Para la fiesta del pueblo todos damos la contribución Ri achii xkanajken	                 
Njeel ri chaak ri xbʼanik bʼusmaj riij sichaʼ utz xeʼloq	#qum# Todo el trabajo que se realizó estaba bien pensado por eso salió bien	La Comisión se aprueba de actos de ejecución en conformidad con el artículo 21 del Reglamento Financiero.
Tukkilaʼ kʼolik r i rchoch ri wnobʼ	#qum# Por allá está la casa de mi hermana	la Comisión adopta actos de ejecución de conformidad con el artículo 21 del Tratado.
Njeel ri kotzʼaj ri rawmaj ri nchucch keq rkaʼybʼaal	#qum# Las flores que tiene sembrado mi mamá son de color rojo	la Comisión ha decidido la prórroga de la vigencia del acuerdo
Ri kchak ri ojor wnaq qaqchee chik kiʼ riqt jik	#qum# Los trabajos de los antiguos ya no se encuentran	La Comisión adoptará actos de ejecución en conformidad con el artículo 21 del Reglamento Financiero.
Ri saqbʼuch xkʼoxbʼsaaj ri chno oj	#qum# El granizo golpeo la milpa	la Comisión se va a la puerta de la puerta
wu ajkʼaal kiryaʼ achyam chre	#qum# Al niño le da estornudo	
Pongale una cuña a la mesa	#qum# Codo	Posa un cuello en la mesa
Cha niim xojelbʼ ik sichaʼ xojtz aljuul jnum	#qum# Salimos rápido por eso regresamos juntos	No me lo pongo.
Ri rtzʼibʼbʼaal ri ajtijnel xqʼeptjik	#qum# El lápiz del estudiante se quebró	la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte de la parte
Ri rwiʼ ri aliit pochʼmaj rukʼ ri rxqʼap	#qum# El cabello de la señorita está trensado con su	                 
Chu ri qʼtal iil qal ri tzujnel xopnik	#qum# Ante el juez no se presentó el acusador	La Comisión adoptará actos de ejecución de conformidad con el artículo 21 del Reglamento Financiero.
Estaba mojado la camisa del hombre por eso le dio fiebre	#qum# C ama wu chʼaat bʼantlik rukʼ	T
ri achii kʼolik rsmaal chu rkʼuʼx	#qum# El hom bre tiene bellos en el pecho	I'm not sure what I'm saying.
La tabla es ancha	#qum# Pizarron	Tafole la grande
Ri neʼ kchaknik pirqan jaay	#qum# El bebé gatea en el patio de la casa	                                                                                                  
Kʼolik wnaq qal chik knaʼtaj ri kbʼanbʼaal chke	#qum# Hay personas que ya no se recuerda de	                                                                                                  
Wu ixoq kjororik wu rtzaʼm ataq kwrik	#qum# La señora ronca mucho cuando duerme	Eu nu voi spune nimic despre asta.
Ri rxaq juuj xaq qiʼn nakʼlook	#qum# La hoja de papel esta medio pegado	n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n n
Ri wnaq ataq kʼolik jun chʼoʼj chkxoʼl ketzlaj kiibʼ	#qum# La gente cando existe entre ellos un problema se desprecian	La Comisión ha adoptado una propuesta de reglamento sobre la protección del medio ambiente.
Ri tʼiqbʼal kchuknik chu rnukʼik ri qʼaaqʼ	#qum# El encendedor sirve para juntar el	El año pasado se pasó a la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta de la fiesta
Ataq kmo lik ri knaqʼ kʼolik rkʼolbʼaal waʼchiʼ kyoʼqqaj wiʼ	#qum# Cuando se junta	I'm not sure what the answer is.
Ri waʼchiʼ kʼo ri wchoch mqʼen jyubʼ	#qum# Donde yo vivo es tierra caliente	️️️️️️️️️️️️️
Ataq kojsaqrik ri tzeek koqʼik	#qum# C uando amanecemos el gallo canta	          
Njeel ri teem isetsik	#qum# Todas las bancas son redondas	            
Ataq kjachʼik ri jal xaq xeew ri rqan chnooj kkanjik	#qum# Cuando se tapisca la	A. El pueblo de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la ciudad de la capital
wu qʼoor kookʼ xelul pwu keʼbʼal	#qum# La masa salió fino en el molino	                                       
Tráigalo	#qum# Ri ixoq	- - - - - - -
Rwaqlaaj rjnobʼ ri tijbʼal xtzʼaqtik	#qum# La escuela cumplió el decimo sexto año de	El Consejo de la Unión Europea ha aprobado el Reglamento (CE) n.o 1403/2005.
Ri loʼn chʼomchʼoj rtijik	#qum# La fruta está medio ácido	No     
Ri rxjabʼ ntatanool qʼeq kkaʼybʼaal	#qum# Los zapatos de mi abuelo es de color negro	El Parlamento Europeo y el Consejo de la Comisión
Njeel ri rxaq juuj xeʼ worik	#qum# Todas las hojas de papel se perforó	La Comisión se adoptará actos de ejecución de conformidad con el artículo 21 del Reglamento Financiero
Ri waakx lewlik wu rwoch	#qum# La vaca es de mejilla gorda Extendido	              
Chu kxibʼxik ri chʼok kchuknik ri ixkeeqʼ	#qum# Para espantar a los zanates sirve la onda de pita	        
Njeel ri ajkʼalobʼ xiʼ tuknik rum xibʼal kiibʼ	#qum# Todos los niños se dispersaron por el miedo	n't sure what I'm saying.
Ri achii riʼj chik sichaʼ qal kirchʼij kbʼinik	#qum# El hombre ya es viejo por eso no aguanta caminar	La Comisión adoptará actos de ejecución de conformidad con el artículo 21 del Reglamento Financiero
Riliil riij xtkʼutik ri kajwxik rbʼanik kukʼ ri wnaq	#qum# Es necesario mostrar lo que se quiere	La Comisión ha decidido prorrogar el periodo de vigencia del acuerdo a los Estados miembros.
Ri yuʼtz kʼebʼ muul xchuknik sichaʼ kamulbʼal rbʼiʼxik pqyolbʼaal	#qum# La	la Comisión se aprende a la Comisión de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de la República de
Wu leem xkʼis ri knaqʼ	#qum# La tortuguilla terminó de comer el frijol	                   
Wu jaws kkeʼxik chu kʼej	#qum# L a haba se muele para pinol	
Wu chaak kow sichaʼ qal nim xkbʼan ri ajchaak	#qum# El trabajo está duro por eso no avanzaron los trabajadores	                         
Wu nima xbʼoʼj leʼlik wu rchiʼ	#qum# La olla grande es de boca grande	             
Ri nooy kiʼ qʼoxwik ri rbʼaqil	#qum# La abuela le duele su hueso	         
Tkaal xkmik ri ntzʼiʼ rum riʼjaal	#qum# Mi perro se murió despacio ór la vejez	la Comisión adopta actos de ejecución con arreglo al artículo 21 del Tratado que instituye la Comunidad Europea.
Pri molbʼeem xaq kʼeebʼ ixoq xoʼpnik	#qum# En la reunión llegaron solo dos mujeres	la mesa de la mesa
Saqsi xkojyolwik chqatziij rtqriq kʼchiʼ ri utziil	#qum# Si hablamos con la verdad	El cuadro de la planta de la planta
Pri uleew kʼolik kʼiy amluʼx abʼaj	#qum# En el terreno hay montones de piedras	la navega
Rech qal xkojyolik, utz xttojik ri kʼaas	#qum# Para que no nos critiquen es bueno pagar la deuda	                                                                                                  
Ri tikʼlik yaʼ qal utz kumu kiʼ poqʼnik ri raal us	#qum# Las aguas estancadas no es bueno	                                                         
Ri tzʼiʼ xwos	#qum# El perro es travieso	Other articles of heading No 1
Kʼolik ri wnaq qal knmaj ri tyoox	#qum# Existen personas que no creen en las imágenes	              
Che rajlbʼaal rkʼosbʼik r i wtziik	#qum# Que fecha nació mi hermano	La Comisión ha decidido prórroga el periodo de vigencia del acuerdo
Ri nchuch yaabʼ rukʼ rqul	#qum# M i mamá está enfermo de la tos	la Comisión adoptará actos de ejecución de conformidad con el artículo 21 del presente Reglamento.
Ri ajkuun tlaʼ kʼolik rchoch waʼchiʼ rbʼiʼ oxchʼuʼk	#qum# la comadrona vive en el traingulo	                          
Ri rchaq akʼ utz xtqajik chxeʼ ri tikaʼ	#qum# La gall inaza es bueno para abonar la siembra	           
Ataq kʼolik yaʼ tikʼlik xibʼal serat kiʼpoqʼnik	#qum# Cuando hay charcos de agua	Attaq kʼolik yaʼ tikʼlik xibʼal serat kiʼpoqʼnik es el primer día de la semana.
ajsik xokul ri elqʼoom sicha ʼ qal xnaʼ ri tzʼiʼ	#qum# El ladrón entró arriba por eso no se dio cuenta el perro	A      
Ataq xkʼosbʼik ri ajkʼaal rbʼaqʼtmaj riibʼ ri rkʼamaʼl rmuux pirqul	#qum# Cuando nacio el niño lo	El artículo 21 del Reglamento Financiero
Ri keej bʼilbʼik wu rbʼaq rwoch	#qum# El caballo tiene los ojos grandes	la Comisión se fija la lista de los datos que se pueden obtener en la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de la página de
El cuarto lo han barrido	#qum# Barrendero	The room is swept .
Ri nchuch utz keʼrbʼan ri xkulbʼal	#qum# Mi mamá puede hacer petate	El cuadro de la información que se puede hacer
Ri pisbʼal ri juuj bʼantlik rukʼ miit	#qum# La en voltura del papel está hecho de algodón	La Comisión se fija el artículo 23 de la Directiva 2006/65/UE
Njeel ri kʼyeej itzʼaplik	#qum# Todos los negocios están cerrados	              
Xsqarsxik ri riil ri achii se aclaró el delito del hombre	#qum# Dirrecion	The man's crime was clear.
Chpom ri bʼeey xtukxik poqlaaj	#qum# En el camino se regó arena	la que la gente se va a la casa
Ri sʼaq tʼaq	#qum# La ropa está mojada	️ El cuadro de la vida
Ataq xsiq ri tzʼiʼ ri qan chkop xtrambʼeej rech xwiʼtaaj	#qum# Cuando el perro olió las huellas del	    
Ri aliit xtzaqeel wu rkaʼ	#qum# La señorita se le cayó la muela	La Comisión adoptará actos de ejecución en conformidad con el artículo 21 del Reglamento Financiero.
Ri tzʼiʼ xsok ri achii pirsmoqʼ	#qum# El perro lo hirió al hombre en la fosa poplítea	        
Ri siikʼ kirbʼan kʼex chu ri tzantzqʼor	#qum# El consumo del cigarro daña el cerebro	La Comisión adoptará actos de ejecución con arreglo al artículo 21 del Reglamento Financiero
Ataq kpetik jabʼ wu kʼotzʼaj qʼus kkaʼyxik	#qum# Frijol	I'm not sure what to do.
Ataq utz bʼanmaj ri chaak qal chik ktzuntzxik	#qum# Cuando está bien hecho el trabajo no es necesario repasarlo	la Comisión adoptará actos delegados de conformidad con el artículo 21 del Reglamento Financiero.
Ri ajmaak areʼ ri achi i ri xwiʼt aaj ri ixoq	#qum# El hombre que mató a la mujer es el culpable	         
Ri saqkʼim kchuknik chu kbʼanik xuʼk	#qum# El pajon blanco sirve para elaborar canastas	n'a pas dire quoi que ce soit.
Latzʼ wu rpom jaay sichaʼ qal xiʼ kʼisook njeel ri wnaq	#qum# La casa es muy reducido por eso no	                                                                                                  
Ataq kqajik ri nabʼey rqan jabʼ keʼlul ri xkawalek	#qum# Cunado cae las primeras lluvias salen	          
Ri xbʼaj kirbʼan kʼex chu ri qsosobʼ	#qum# El aguardiente causa daños a nuestro hígado	(C) la luna se va a pasar
Xeʼ taq ri abʼaj kiʼkʼobʼik ri kmatz	#qum# Debajo de las piedras están las culebras	He's got a lot of things to do.
Ri tikaʼ kkʼiyik rum ri rmeqʼnal ri qʼiij	#qum# La siembra crece con el calor del sol	la la que sea la ley
Waqiibʼ iikʼ chi k xtqajik raal wu wakx	#qum# Entre seis meses va parir la vaca	️️️️️️️️️️️️️️️️️️️️️️️
Jun mlol ylooj xb ʼiʼnik re waʼ	#qum# Esto lo dijo un chismoso	La Comisión ha adoptado una propuesta de reglamento sobre la aplicación de la directiva sobre la aplicación de la directiva sobre la aplicación de la directiva sobre la aplicación de la directiva sobre la protección de los
Ri albʼatz xyoʼqook chu rqirxik ri rwoch ixiim	#qum# La nuera se le puso a	         
Pirwiʼ ri jyubʼ xeʼqbʼnaʼ ri chʼabʼal maaya	#qum# En la cima del cerro fuimos hacer la ceremonia maya	#  # #  # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #
R i alaabʼ xtochʼ ri rqan rukʼ ri tochʼbʼal	#qum# El muchacho se cortó el pie con el machete	                      
Ri elqʼoom chaqʼabʼ xkelqʼaaj ri rwaakx wjow	#qum# Los ladrones de noche robaron la vaca de mi papá	        
Ri nanyoox xaq kyabʼabʼ ik rum wu re tzaʼm	#qum# la señora siempre padece del catarro	           
Najeʼl xbʼan ri wtziik ri rchoch	#qum# Mi hermano construyó su casa retirado a la mia	No voy a decir nada.
Ri aliit nmaq wu riim	#qum# La señorita tiene los pechos grandes	El cuenta la mano
Ri rbʼuch akʼ xnojik rukʼ rwoch ixiim	#qum# El buche de la gallina se llenó con granos de maíz	la Comisión se fija la leyenda de la ley de la ley de la ley de la ley
