input	reference	prediction
wu ajkʼaal kiryaʼ achyam chre	#qum# Al niño le da estornudo	#qum# El hombre se ha caído en la tierra
Pongale una cuña a la mesa	#qum# Codo	️ El hombre se ha ido
Cha niim xojelbʼ ik sichaʼ xojtz aljuul jnum	#qum# Salimos rápido por eso regresamos juntos	Can't do the work at home
Ri rtzʼibʼbʼaal ri ajtijnel xqʼeptjik	#qum# El lápiz del estudiante se quebró	El hombre se ha ido
Ri rwiʼ ri aliit pochʼmaj rukʼ ri rxqʼap	#qum# El cabello de la señorita está trensado con su	El hombre que se ha ido
Chu ri qʼtal iil qal ri tzujnel xopnik	#qum# Ante el juez no se presentó el acusador	El hombre se fue
Estaba mojado la camisa del hombre por eso le dio fiebre	#qum# C ama wu chʼaat bʼantlik rukʼ	#Carazón de la casa de la mujer
ri achii kʼolik rsmaal chu rkʼuʼx	#qum# El hom bre tiene bellos en el pecho	El hombre que se ha hecho
La tabla es ancha	#qum# Pizarron	#qum# El hombre se ha echado el
Ri neʼ kchaknik pirqan jaay	#qum# El bebé gatea en el patio de la casa	El hombre que se levanta
Kʼolik wnaq qal chik knaʼtaj ri kbʼanbʼaal chke	#qum# Hay personas que ya no se recuerda de	### El hombre que va a casa
Wu ixoq kjororik wu rtzaʼm ataq kwrik	#qum# La señora ronca mucho cuando duerme	El hombre se fue de la casa
Ri rxaq juuj xaq qiʼn nakʼlook	#qum# La hoja de papel esta medio pegado	The man who has no hair
Ri wnaq ataq kʼolik jun chʼoʼj chkxoʼl ketzlaj kiibʼ	#qum# La gente cando existe entre ellos un problema se desprecian	## El hombre se ha caído
Ri tʼiqbʼal kchuknik chu rnukʼik ri qʼaaqʼ	#qum# El encendedor sirve para juntar el	# La mujer se ha ido al hombre
Ataq kmo lik ri knaqʼ kʼolik rkʼolbʼaal waʼchiʼ kyoʼqqaj wiʼ	#qum# Cuando se junta	El hombre que se fue
Ri waʼchiʼ kʼo ri wchoch mqʼen jyubʼ	#qum# Donde yo vivo es tierra caliente	El niño se ha hecho el pelo
Ataq kojsaqrik ri tzeek koqʼik	#qum# C uando amanecemos el gallo canta	# La casa está en la quebra
Njeel ri teem isetsik	#qum# Todas las bancas son redondas	El hombre va a la calle
Ataq kjachʼik ri jal xaq xeew ri rqan chnooj kkanjik	#qum# Cuando se tapisca la	People have made themselves evil
wu qʼoor kookʼ xelul pwu keʼbʼal	#qum# La masa salió fino en el molino	#qum# El hombre que le dio vida
Tráigalo	#qum# Ri ixoq	# El hombre se ha quedado
Rwaqlaaj rjnobʼ ri tijbʼal xtzʼaqtik	#qum# La escuela cumplió el decimo sexto año de	El hombre que se ha hecho
Ri loʼn chʼomchʼoj rtijik	#qum# La fruta está medio ácido	#grama de la mujer
Ri rxjabʼ ntatanool qʼeq kkaʼybʼaal	#qum# Los zapatos de mi abuelo es de color negro	El hombre se ha ido
Njeel ri rxaq juuj xeʼ worik	#qum# Todas las hojas de papel se perforó	La gente de la tierra se
Ri waakx lewlik wu rwoch	#qum# La vaca es de mejilla gorda Extendido	El hombre se ha sacado
Chu kxibʼxik ri chʼok kchuknik ri ixkeeqʼ	#qum# Para espantar a los zanates sirve la onda de pita	When she was born
Njeel ri ajkʼalobʼ xiʼ tuknik rum xibʼal kiibʼ	#qum# Todos los niños se dispersaron por el miedo	El hombre que se puso en la cama
Ri achii riʼj chik sichaʼ qal kirchʼij kbʼinik	#qum# El hombre ya es viejo por eso no aguanta caminar	El hombre que se puso en la
Riliil riij xtkʼutik ri kajwxik rbʼanik kukʼ ri wnaq	#qum# Es necesario mostrar lo que se quiere	El hombre se ha hecho el pelo
Ri yuʼtz kʼebʼ muul xchuknik sichaʼ kamulbʼal rbʼiʼxik pqyolbʼaal	#qum# La	Man has done work for man
Wu leem xkʼis ri knaqʼ	#qum# La tortuguilla terminó de comer el frijol	## El hombre que se ha acostado
Wu jaws kkeʼxik chu kʼej	#qum# L a haba se muele para pinol	El hombre se ha ido
Wu chaak kow sichaʼ qal nim xkbʼan ri ajchaak	#qum# El trabajo está duro por eso no avanzaron los trabajadores	# El hombre se ha ido a la casa
Wu nima xbʼoʼj leʼlik wu rchiʼ	#qum# La olla grande es de boca grande	La gente se ha ido
Ri nooy kiʼ qʼoxwik ri rbʼaqil	#qum# La abuela le duele su hueso	El hombre se ha sacado
Tkaal xkmik ri ntzʼiʼ rum riʼjaal	#qum# Mi perro se murió despacio ór la vejez	El hombre se fue a la casa
Pri molbʼeem xaq kʼeebʼ ixoq xoʼpnik	#qum# En la reunión llegaron solo dos mujeres	#qum# El hombre es un hombre que se hace
Saqsi xkojyolwik chqatziij rtqriq kʼchiʼ ri utziil	#qum# Si hablamos con la verdad	El hombre que se ha hecho
Pri uleew kʼolik kʼiy amluʼx abʼaj	#qum# En el terreno hay montones de piedras	Quando se levanta a cabeça se levanta a
Rech qal xkojyolik, utz xttojik ri kʼaas	#qum# Para que no nos critiquen es bueno pagar la deuda	# El hombre se queda en la casa
Ri tikʼlik yaʼ qal utz kumu kiʼ poqʼnik ri raal us	#qum# Las aguas estancadas no es bueno	#qum# El hombre se ha puesto al pie de la
Ri tzʼiʼ xwos	#qum# El perro es travieso	El hombre se ha ido a casa
Kʼolik ri wnaq qal knmaj ri tyoox	#qum# Existen personas que no creen en las imágenes	## El hombre se ha ido
Che rajlbʼaal rkʼosbʼik r i wtziik	#qum# Que fecha nació mi hermano	El hombre se ha ido a la casa
Ri nchuch yaabʼ rukʼ rqul	#qum# M i mamá está enfermo de la tos	# El hombre es el hombre
Ri ajkuun tlaʼ kʼolik rchoch waʼchiʼ rbʼiʼ oxchʼuʼk	#qum# la comadrona vive en el traingulo	The man has become the man
Ri rchaq akʼ utz xtqajik chxeʼ ri tikaʼ	#qum# La gall inaza es bueno para abonar la siembra	#qumbojojojojojojojojojojojojojojojojojojojojojojojojojojo
Ataq kʼolik yaʼ tikʼlik xibʼal serat kiʼpoqʼnik	#qum# Cuando hay charcos de agua	The man must have the body in the body
ajsik xokul ri elqʼoom sicha ʼ qal xnaʼ ri tzʼiʼ	#qum# El ladrón entró arriba por eso no se dio cuenta el perro	El hombre se ha ido
Ataq xkʼosbʼik ri ajkʼaal rbʼaqʼtmaj riibʼ ri rkʼamaʼl rmuux pirqul	#qum# Cuando nacio el niño lo	El hombre que se ha casado
Ri keej bʼilbʼik wu rbʼaq rwoch	#qum# El caballo tiene los ojos grandes	El hombre se ha tirado el pelo por el
El cuarto lo han barrido	#qum# Barrendero	El hombre se quedó en la cama
Ri nchuch utz keʼrbʼan ri xkulbʼal	#qum# Mi mamá puede hacer petate	# # # # La cabeza se levanta
Ri pisbʼal ri juuj bʼantlik rukʼ miit	#qum# La en voltura del papel está hecho de algodón	La mujer se ha sacado de la casa
Njeel ri kʼyeej itzʼaplik	#qum# Todos los negocios están cerrados	The man who went to school
Xsqarsxik ri riil ri achii se aclaró el delito del hombre	#qum# Dirrecion	El hombre que se fue
Chpom ri bʼeey xtukxik poqlaaj	#qum# En el camino se regó arena	El hombre que se ha ido a la casa
Ri sʼaq tʼaq	#qum# La ropa está mojada	El hombre se va a casa
Ataq xsiq ri tzʼiʼ ri qan chkop xtrambʼeej rech xwiʼtaaj	#qum# Cuando el perro olió las huellas del	#qumalo
Ri aliit xtzaqeel wu rkaʼ	#qum# La señorita se le cayó la muela	El hombre se levanta
Ri tzʼiʼ xsok ri achii pirsmoqʼ	#qum# El perro lo hirió al hombre en la fosa poplítea	El hombre se puso en el
Ri siikʼ kirbʼan kʼex chu ri tzantzqʼor	#qum# El consumo del cigarro daña el cerebro	# El hombre se ha hecho el hombre
Ataq kpetik jabʼ wu kʼotzʼaj qʼus kkaʼyxik	#qum# Frijol	# El hombre se ha puesto en la cama
Ataq utz bʼanmaj ri chaak qal chik ktzuntzxik	#qum# Cuando está bien hecho el trabajo no es necesario repasarlo	El hombre se quedó en el baño
Ri ajmaak areʼ ri achi i ri xwiʼt aaj ri ixoq	#qum# El hombre que mató a la mujer es el culpable	El hombre que se ha hecho el trabajo
Ri saqkʼim kchuknik chu kbʼanik xuʼk	#qum# El pajon blanco sirve para elaborar canastas	El hombre se ha echado
Latzʼ wu rpom jaay sichaʼ qal xiʼ kʼisook njeel ri wnaq	#qum# La casa es muy reducido por eso no	La casa está en la calle
Ataq kqajik ri nabʼey rqan jabʼ keʼlul ri xkawalek	#qum# Cunado cae las primeras lluvias salen	El hombre que se ha ido a la casa
Ri xbʼaj kirbʼan kʼex chu ri qsosobʼ	#qum# El aguardiente causa daños a nuestro hígado	El hombre que se ha hecho el
Xeʼ taq ri abʼaj kiʼkʼobʼik ri kmatz	#qum# Debajo de las piedras están las culebras	El hombre se ha puesto en la
Ri tikaʼ kkʼiyik rum ri rmeqʼnal ri qʼiij	#qum# La siembra crece con el calor del sol	The man has gone to his father's house
Waqiibʼ iikʼ chi k xtqajik raal wu wakx	#qum# Entre seis meses va parir la vaca	# El hombre se ha ido
Jun mlol ylooj xb ʼiʼnik re waʼ	#qum# Esto lo dijo un chismoso	El hombre se ha sacado
Ri albʼatz xyoʼqook chu rqirxik ri rwoch ixiim	#qum# La nuera se le puso a	El hombre se levanta
Pirwiʼ ri jyubʼ xeʼqbʼnaʼ ri chʼabʼal maaya	#qum# En la cima del cerro fuimos hacer la ceremonia maya	️Mommy has done her
R i alaabʼ xtochʼ ri rqan rukʼ ri tochʼbʼal	#qum# El muchacho se cortó el pie con el machete	El hombre que se ha puesto en el suelo
Ri elqʼoom chaqʼabʼ xkelqʼaaj ri rwaakx wjow	#qum# Los ladrones de noche robaron la vaca de mi papá	La cama se ha puesto
Ri nanyoox xaq kyabʼabʼ ik rum wu re tzaʼm	#qum# la señora siempre padece del catarro	#qum# El hombre se ha hecho hombre
Najeʼl xbʼan ri wtziik ri rchoch	#qum# Mi hermano construyó su casa retirado a la mia	The man who left the house
Ri aliit nmaq wu riim	#qum# La señorita tiene los pechos grandes	El hombre que se ha ido a la casa
Ri rbʼuch akʼ xnojik rukʼ rwoch ixiim	#qum# El buche de la gallina se llenó con granos de maíz	El hombre se ha puesto en la casa
Pri ntinmit qal kʼiy moos ikʼolik	#qum# En mi pueblo hay pocos ladinos	Mijo se fue
Ri tzʼuum xchiqik chu qʼiij	#qum# El cuero se secó en el sol	El hombre se puso en la
Ri ajkʼaal yaabʼ sichaʼ qal ktzeʼnik	#qum# El niño está enfermo por eso no puede reir	El hombre se ha hecho hombre
Wu us qal utz laj chkop kir chʼulchʼaʼ ri che ri qtij	#qum# La mosca es un animal malo porque contamina lo	#qumbo_combo
Ataq kiʼ waʼljik ri ajkʼalobʼ konjeel keʼ bʼixnik	#qum# Cuando los niños se levantan todos cantan	El hombre se ha hecho hombre
Chke ri ajkʼalobʼ riliil rij xkeʼtijxik rech xkeʼqʼajlaʼnik	#qum# A los niños es necesario enseñarles a saludar	## La gente se ha hecho la gente
Ri ajtzʼibʼnel xeʼrtzʼibʼaaj kʼiy q taʼ pqyolbʼaal	#qum# El escritor escribió varios cuentos en el	El hombre que se ha hecho el oscurito
Ri ixoq xtzʼonjok jrubʼ rjil wu akʼ	#qum# La señora preguntó cuanto vale la gallina	#qum# La gente se ha ido de la casa
wu klobʼ xyuqpjik ataq xchnaʼnik	#qum# El lazo se estiro porque se mojó	El hombre se ha tirado el pelo
La laga rtija sale cuando hay sol	#qum# Sapo	#qum# La cama está en la cama
Ri xaʼk chqiʼj chik	#qum# El trozo ya está seco	## El niño se fue
Ri xenxipr utz chi kunbʼal ri qulaj	#qum# Para curar la tos es bueno el jengibre	The man who put himself in the way
Ri klobʼ ktumxik rukʼ xweelx	#qum# El laso lo hacen torcer con malacates	#qum# La gente se ha ido
Ri ryaʼl tzmeʼy utz xtqum jun ixoq rech q al ri raal xtokʼwik	#qum# El agua de la	The man who has become the man who has become the man who has become the man
Ri qʼabʼreel pakʼlik xkanjik ataq xtzaqik	#qum# El borracho cuando cayó quedó de boca arriba	#qum# El hombre se fue
Ri achii ataq xbʼeek chu rkʼamik siʼ qal xkʼambʼik ri rptem	#qum# El hombre cuando se fue a traer leña no llevó su mecapal	#qum# La luna se hacía
Junbʼer xkʼuqbʼsxik ri rwiʼ rqʼabʼ tinmit	#qum# El año pasado se fundó el caserío	El hombre que se ha sacado el pecho
Njeel jnobʼ kbʼanik ri nimaqʼʼij	#qum# Rech ri tinmit	El hombre se ha hecho el mal
Ri ixoq xpe saqtqoj chriij	#qum# A la mujer le dió vahído	El hombre que se ha puesto en la cama
Ri alaabʼ xtzaqik xqʼoch wu rqʼabʼ	#qum# El muchacho se cayó y se quebró la mano	El hombre que se ha ido
Ri wtziik xaq xchʼutij ri rchoch	#qum# Mi hermano apuntaló su casa	#qum# La gente se fue
Chqʼayaʼpon ri yaʼ kʼolik rchoch ri Leʼn	#qum# al otro lado del rio está la casa de Elena	El hombre que se fue a la casa
wu ekʼaʼ kchuknik chu wiqbʼal	#qum# La cola de gallo sirve para adornar	# # # El niño se ha caído
Iwir xintzaqken ri qʼaxbʼal chaʼnbʼal ayer perdí el teléfono	#qum# Dolor	La mujer se queda en la cama
Ri wkaan kʼolik kʼeebʼ rmyaʼlbʼaal	#qum# Mi tío tiene dos hijastras	# La mujer se ha hecho el pelo
Ri saqʼuul xaq tqʼaaj kiryaʼ wiʼ, El plátano solo se da en la costa	#qum# Palo blanco	El hombre que se ha hecho el hombre
Iwir xqʼeq xojkʼobʼik pjun molbʼeem	#qum# Ayer en la tarde estuvimos en una reunión	#qum# La gente se ha quedado en la casa
Ri ajkʼaal riliil rij kyuqxik chu ri rqʼabʼ	#qum# El niño se debe agarrar de la mano	# La mujer se fue a la casa
Ri ajtiij xkʼuqbʼaʼ ri tatanool chu teem	#qum# El maestro lo mando a serntar al abuelo en la silla	El hombre se ha ido
Qonjeel qqum qʼoor	#qum# Todos tomamos atol	The man who has done the job
A qué hora nos vamos al entierro	#qum# Dentro de un año	El niño se fue
Wu loʼn nmaq kkaʼyxik	#qum# Las frutas se ven grandes	## El hombre se fue
Ri kuch xibʼal squkʼ chriij	#qum# El cerdo tiene mucho piojo	## El hombre se ha hecho
Ri lochʼ qal xchʼij ri qʼaaqʼ xelul chriij	#qum# El bebé no aguantó la fiebre	El hombre que le dio la vida
Ri aliit ataq kbʼeek pchʼiichʼ kiryaʼ xaʼw chre	#qum# la señorita cuando viaja en carro le da vómito	#qum# El hombre que se puso en la
Ri winaq keʼchʼoʼ jnik chrij ri yaʼ	#qum# La gente pelean por el agua	#qum#
Ri wjow njeel qʼiij qal jamlik	#qum# Mi papá todos los días se mantiene ocupado	El hombre se ha ido
Chu wu jaay rech chʼabʼal kʼolik kʼeebʼ mulmik uleew	#qum# En frente la iglesia	#qum# La mujer se va a la casa
Ri cheʼ qʼeʼlik xk anjik pri bʼeey	#qum# el árbol quedó atravesado en el camino	El hombre se ha hecho hombre
Ri chiij qʼeqqʼoj rkaʼybʼaal	#qum# El color de la oveja es medio negro	El hombre que se ha hecho
Riliil riij ataq xtqum ri yaʼ nabʼeey xtrqowsxik	#qum# Es necesario cuando tomamos el agua	The man has become the man
Ri rwoch tikaʼ kkiʼyrik rum wu rtun qʼiij	#qum# La fruta se endulza con los rayos del sol	El hombre que se ha hecho el mal
Ri rwoch nuxtaʼ xibʼal rkʼixil	#qum# La fruta del nopal tiene mucha espina	#qumbo#El hombre que se ha hecho el trabajo
Ri aliit kiryqʼuj ri ajkʼaal	#qum# La señorita c uida al bebé	The man has become man
Chpom ri yaʼ piʼlik xibʼal xaʼn	#qum# En el agua encharcada hay mucho zancudo	Cuando le dieron el regalo
Ri tzʼiʼ ktzʼuʼynjik ataq kirkaʼyij wu rxoqʼjowil	#qum# El perro ronronea cuando mira su	## La gente se fue
Ataq xojopnik jaqlik chik ri rchiʼ jaay jroq koʼkik elqʼoom	#qum# Cuando llegamos ya estaba abierto la	El perro se ha puesto en la
Ri ajkʼaal xyabʼrik rukʼ xjir	#qum# El niño se enfermo de dearrea	#qum# El hombre que se ha ido a la casa
Ri snik ktij ri rxiʼl leej	#qum# Las hormigas comen la migaja de tortilla	La mujer se ha hecho
Ri kiʼ wiqnik ri nima qʼiij areʼ ri qʼus laj taq ixoq	#qum# Los que engalanan la fiesta son las bellas mujeres	El hombre que se ha hecho
Ri traas spoqʼpoj rtijik	#qum# El durazno está desabrido	El hombre se ha ido
