input	reference	prediction
#qum# por el daño que el hombre está	Ri uleew tjin rmeqʼik rum wu kʼex ri tjin kirbʼan ri achii chre	qumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqum
#qum# La masa salió quebrada	Ri qʼoor chqaam xelul	qumate the mass has been released.
#qum# La botella se utiliza para guardar miel	Ri limeet kchuknik chi r kʼolik ri ryaʼl chʼoxiʼ	qumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqum
#qum# Vamos todos para que nos atieden nuestra	Joʼ qonjeel rech xkojtaʼtjik che ri qajbʼeej	qumke to be satisfied
#qum# El río creció por eso se llevó toda la	Ri nimaya ʼ xkʼiyik sichaʼ xuʼrmaʼ njeel ri tikaʼ	qum of the river, so took all the
#qum# El árbol es grandicimo por eso le pego el rayo	Jomom ri cheʼ sichaʼ xkʼeq rquljaay	qum, and therefore call it the tree of radius.
#qum# El frijol que se compra en la plaza lo	Ri knaqʼ ri kloqʼik pkʼeybʼal esmaj jun pajbʼal	qumsiququillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillquillququillquillquillquillquillquillquillququillquillququillquillquillquillququillquillquillquillquill
#qum# Cuando cómo frijol me da ardor de pecho	Ataq kintij knaqʼ kiryaʼ qʼaʼteew chwa	qumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqum
#qum# Todas las frutas están rodajeada con cuchillo	Njeel wu loʼn jexmaj rukʼ qʼatbʼal	qumile fruit is filmed with a knife
#qum# Ayer mi mamá compró hilo de varios colores	Iwir ri nchuch xloqʼ bʼatzʼ pkʼeybʼal jaljoj kkaʼybʼaal	qumile, and the wire of various colours was bought by my mother yesterday.
#qum# El ladrón fue arrastrado por las	Ri elqʼoom xqitxik kum ri wnaq xaq rum wu xrelqʼaaj jun keej	qum the thief was drawn by the
#qum# Las matas de maguey se están secando por la plaga	Ri rqan kiiy tjin rchiqik rum wu xoʼkik chkop txeʼ	qumbq qqqqq qqqqqqqq qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq
#qum# Cuando se come un chompipe quiere mucho	Ataq ktijik jun chooj nim rkunaal kraaj	qumqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq
#qum# Todo el techo de ,la casa gotea	Njeel ri rwiʼ jaay ktzʼujik	qum the roof of the house.
#qum# Quemar bien	El enfermo se empeoro porque salio bajo la lluvia	qummiqmiqmiq
#qum# La reun ion se realiza cada semana	Ri molbʼeem kbʼanik chwuqubʼ qʼiij	qumilire is held on a weekly basis
#qum# El árbol se le seco las hojas	Ri cheʼ xchiqik ri rxaq	qum the tree dried the leaves
#qum# Con el doblador se hacen muñecas decoradas	Rukʼ wu joʼq keʼ bʼanik qʼus laj alaʼs	qumilir, and the screw is screw-shaped.With the screw-shaped dumbbell
#qum# el coyote se comió l as once ovejas	Julajuuj chiij xeʼr tij ri sjiʼl	qumqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq
#qum# El hombre se go lpeó la	Ri achii xkʼoxbʼsaj ri rjlom ataq xtzaqik rukʼ ri jochlan chʼiichʼ	qumle, and the man was smitten
#qum# El frujol blanco es delicioso comer en	Ri knaqʼ saqtbʼin chetzʼiʼnik rtijik pjkʼom iik	qum) The white fruit is delicious to eat in
#qum# L avado	El cerdo ensució el maíz	qumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqum
#qum# La mujer hace lasos con la	Ri ixoq kiʼrbʼan ri klobʼ rukʼ ri saqkiiy ri kirbʼan rukʼ ri choʼl	qum-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m-m
#qum# El ayote es bien rico pa ra comer	Chetzʼiʼnik rtijik ri qʼooqʼ	qumme is very rich in grain
#qum# Cerca murió el marido de la mujer	Nqaaj waʼchiʼ xchupik ri rchjiil ri ixoq	qum'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l'l
#qum# Todo el tamal estaba comido por las ratas	Njeel ri subʼ tijmaj rum chʼoo y ataq xojsaqrik	qumile the whole tamal was being eaten by the rats
#qum# Arena	Ataq kiʼjikxik ri cheʼ ri uleew sbʼajbʼoj kkanjik	qumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqum
#qum# El formón lo utiliza el carpintero	Ri tzʼqubʼ kchuknik chu ri jsol cheʼ	qum is used by the carpenter
#qum# El conejo cuando hay buena luna sale a comer el frijol	Ri imul ataq kʼolik rqan iikʼ kelul chirtijik wu knaqʼ	qum (s) the rabbit when the moon is good go eat the bean
#qum# La mujer cuando mató a la gallina	Ri ixoq ataq xwiʼtaaj ri akʼ kʼa xlechʼpij ri rtzʼumil	qum the woman when she killed the chicken
#qum# El documeto del terreno está ahumado	Ri rjujil uleew xsibʼrik wu riij	qum of the land is smoked.
#qum# La flor de milpa lo come las chorchas	Ri tzʼtuj ktij tochʼaʼ chu kwoy	qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qum-qumq-qumqum-qumq-qumqumqumqumqum-qumqumqumqumqumqumqumqumqumq qumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqum
#qum# Es necesario cuidar la naturaleza	Riliil riij xtloqʼxik ri uleew	qum a nature is necessary
#qum# La mayoría de los niños consumen mucha galguería	Ri knimalil ri ajkʼalobʼ ktij tzʼiʼlil	qum is a commonly used term for a variety of food products
#qum# Cuando entra el verano las vacas se ponen flacos	Ataq kokik saqʼiij yaax keʼlik ri waakx	qumla, and the cows are thin when summer comes
#qum# El niño se majó el dedo	Ri ajkʼaal xwochʼ wu rwiʼ rqʼabʼ	qumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqum
#qum# Boca arriba	Ri nchuch xloqʼ ri paa kʼ pkʼeybʼal	qumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqum
#qum# El niño no guantó porque se le regó agua	Ri ajkʼaal qal xchʼij kumu kʼten yaʼ xtixuul chriij	qumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqum
#qum# La mariposa vuela entre las flores	Wu puʼt kxikʼnik chu taq ri kotzʼaj	qumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqum
#qum# Todos los enfermos sanaron	Njeel ri ya abʼ mixuʼtzrik	qumle, and all the sick were healed
#qum# La milpa se secó porque le cayó hielo	Ri chnooj xchiqik kumu xqaaj teew chriij	qumle the earth because the earth's crustal surface is covered with ice.
#qum# El frijol amarillo da cuando se siembra	Ri xpley kiryaʼ ataq jnum kawxik rukʼ ri chnooj	qumotoqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq
#qum# El agua tiene pureza	Ri yaʼ kʼolik rsaqiil	qum: The water is pure.
#qum# El techo de la casa de mi papá se ve de forma triangulo	Jutzʼjik rkaʼxik ri rwiʼ rchoch wjow	qum of my father's house is triangular.
#qum# Cuando el buhuo llega a	Ataq koʼqʼoʼk ri toltol chjaay labʼnel kʼolik chinaq xtkmik	qumrrqqqrqrqqrqqrqrqqrqrqqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqrqr
#qum# La reunión de los estudiantes se hizo anteayer	Ri molbʼeem kech ri aj tijnel xbʼanik kabʼjiir	qumilite's meeting was held on the
#qum# Mi mamá tiene sirvienta	Ri nchuch kʼolik rmkoom	qum) is a sister-in-law of my mother.
#qum# Los niños empezaron a llorar cuando perdieron	Ri ajkʼalobʼ xeʼoqʼik rum qal xkchʼak ri etzʼnim	qum-qorqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq
#qum# Nuestro idioma es el Sipakapense	Ri qyolbʼaal areʼ ri Sipakapense	qumqqq qʼijqʼʼʼijqʼ ri ri qʼijqʼik
#qum# Por un poco no alcanzo el fuego la otra casa	Xaq qiʼn chik qal xmaj qʼaaqʼ ri jun jaay chik	qum time i don't reach the other house's fire
#qum# El mal de ojo les afecta a los	Ri rbʼaqʼ rwoch wnaq kirbʼan kʼex chke ri ajkʼ a lobʼ	qum'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i'i who is in the wrong is the whale of the eye when he is wrong is the eye is the eye of the
#qum# No es bueno comer el sobrante al otro día	Qal utz xtqtij ri chʼqaap	qum the other day is not good for nothing.
#qum# A todas las	Chke njeel ri wnaq xbʼiʼxik ke qal xeʼlbʼik xkoybʼeej ke xkʼisik ri molbʼeem	qumqaqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq
#qum# Para la fiesta del pueblo todos damos la contribución Ri achii xkanajken	Rech ri nima qʼiij rech tinmit qonjeel qyaʼ ri kchuuj	qum kʼoq xkʼoʼj xkʼoq
#qum# Todo el trabajo que se realizó estaba bien pensado por eso salió bien	Njeel ri chaak ri xbʼanik bʼusmaj riij sichaʼ utz xeʼloq	qumile, and so it was good.
#qum# Por allá está la casa de mi hermana	Tukkilaʼ kʼolik r i rchoch ri wnobʼ	qum to my sister's house.
#qum# Las flores que tiene sembrado mi mamá son de color rojo	Njeel ri kotzʼaj ri rawmaj ri nchucch keq rkaʼybʼaal	qumiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliiliili
#qum# Los trabajos de los antiguos ya no se encuentran	Ri kchak ri ojor wnaq qaqchee chik kiʼ riqt jik	qumile works are no longer found
#qum# El granizo golpeo la milpa	Ri saqbʼuch xkʼoxbʼsaaj ri chno oj	qumlaqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq
#qum# Al niño le da estornudo	wu ajkʼaal kiryaʼ achyam chre	qumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqumqum
#qum# Codo	Pongale una cuña a la mesa	qum to the other side
#qum# Salimos rápido por eso regresamos juntos	Cha niim xojelbʼ ik sichaʼ xojtz aljuul jnum	qum, and so we came back together.
#qum# El lápiz del estudiante se quebró	Ri rtzʼibʼbʼaal ri ajtijnel xqʼeptjik	qumiliti is the straw that broke the camel's back.
#qum# El cabello de la señorita está trensado con su	Ri rwiʼ ri aliit pochʼmaj rukʼ ri rxqʼap	qumile in the face of the woman's hair is braided with her
#qum# Ante el juez no se presentó el acusador	Chu ri qʼtal iil qal ri tzujnel xopnik	qum, and the defendant did not appear before the judge
#qum# C ama wu chʼaat bʼantlik rukʼ	Estaba mojado la camisa del hombre por eso le dio fiebre	qum xkʼoʼjbʼal xkʼoʼl
#qum# El hom bre tiene bellos en el pecho	ri achii kʼolik rsmaal chu rkʼuʼx	qum kʼoʼjbʼal
#qum# Pizarron	La tabla es ancha	qum xbʼoʼbʼal xbʼal xbʼoʼbʼal
#qum# El bebé gatea en el patio de la casa	Ri neʼ kchaknik pirqan jaay	qumilele in the courtyard of the house
#qum# Hay personas que ya no se recuerda de	Kʼolik wnaq qal chik knaʼtaj ri kbʼanbʼaal chke	qumate to the point of being unable to recover from the
